seed,train_design,eval_background,algorithm,auc,tss,boyce
5,tgb,uniform,xgboost,0.7141770661071405,0.42877417850162247,0.43902608233269824
5,tgb,uniform,randomforest,0.7077997158028888,0.41278262653562026,0.6770508279963781
5,tgb,tgb,maxent,0.6969883831219151,0.3904004976265364,0.5449443206736797
5,tgb,tgb,xgboost,0.7243749013328596,0.4412786465917726,0.4536071793443769
5,tgb,tgb,randomforest,0.7153662958334033,0.4248548710372503,0.6606395846178469
5,tgb,hybrid,maxent,0.7019855451034951,0.40581492587945284,0.536560723961413
5,tgb,hybrid,xgboost,0.7402135175779689,0.4762311421951095,0.4536071793443769
5,tgb,hybrid,randomforest,0.7379675295546733,0.45967609138575904,0.6606395846178469
5,tgb,stratified,maxent,0.699419162734938,0.3894525602638873,0.5395031281332241
5,tgb,stratified,xgboost,0.7299201515137592,0.4546532048950162,0.4534490215660224
5,tgb,stratified,randomforest,0.7185221079048086,0.42898752451018884,0.660585160733269
5,hybrid,uniform,maxent,0.6448173555170214,0.3053612116592202,0.5854480653999191
5,hybrid,uniform,xgboost,0.6992485858982561,0.37991938859967894,0.5505970008502824
5,hybrid,uniform,randomforest,0.688608443720686,0.37600141129049136,0.5585683210033272
5,hybrid,tgb,maxent,0.6777421854956787,0.35432532368629754,0.5999901289082372
5,hybrid,tgb,xgboost,0.719435633811162,0.41693214597676065,0.610748902020584
5,hybrid,tgb,randomforest,0.7013104757047289,0.4046735949301503,0.54302996402758
5,hybrid,hybrid,maxent,0.7270436281639603,0.4208890197960857,0.713575955970278
5,hybrid,hybrid,xgboost,0.7660054132509809,0.48720143977392594,0.6063574707266548
5,hybrid,hybrid,randomforest,0.7441801419668597,0.4483091277625414,0.5741379930210699
5,hybrid,stratified,maxent,0.6637795404779092,0.3324835894883759,0.6063018730431978
5,hybrid,stratified,xgboost,0.7214257789766833,0.4158481360594341,0.610748902020584
5,hybrid,stratified,randomforest,0.6983342713247753,0.3958905915477384,0.54302996402758
6,random,uniform,maxent,0.6917428660700136,0.40018869283533504,0.5791161332764785
6,random,uniform,xgboost,0.7150075642393261,0.42040154436176796,0.3968029099008624
6,random,uniform,randomforest,0.7186093978300662,0.44175118322127477,0.6682567266914266
6,random,tgb,maxent,0.6820020575999622,0.3698200938001187,0.5785580881745351
6,random,tgb,xgboost,0.7037690849164278,0.4055703223992431,0.3968029099008624
6,random,tgb,randomforest,0.707096786256108,0.4140365705702479,0.6682567266914266
6,random,hybrid,maxent,0.7122688987738556,0.4270868235750814,0.5823343733520441
6,random,hybrid,xgboost,0.7311070110558868,0.4433297112644093,0.3963080492279092
6,random,hybrid,randomforest,0.7418921807320176,0.4595790049239243,0.66799778140688
6,random,stratified,maxent,0.7126250906091561,0.42370694707088613,0.6573254947005882
6,random,stratified,xgboost,0.7252836019382017,0.4468127672793522,0.4940303287387032
6,random,stratified,randomforest,0.7168782466175865,0.42570748173830586,0.6069410829738471
6,tgb,uniform,maxent,0.6977433384572981,0.4120479964959191,0.42417543150158704
6,tgb,uniform,xgboost,0.7078377649807889,0.40141593382206936,0.5047836878647173
