seed,zdist_target,zdist_realized,algorithm,auc_own,auc_common,inflation,n_bg
2,1.25,1.2789073578421581,xgboost,0.8975969916128079,0.5358578651006135,0.3617391265121944,1890
2,1.25,1.2789073578421581,randomforest,0.892910865862313,0.522932253189528,0.3699786126727851,1890
2,1.75,1.7562191761186825,maxent,0.7581893939432229,0.5312142946983872,0.22697509924483572,1890
2,1.75,1.7562191761186825,xgboost,0.8067597614246604,0.5532588267663764,0.25350093465828405,1890
2,1.75,1.7562191761186825,randomforest,0.7933938384528002,0.5822100545193937,0.21118378393340653,1890
2,2.25,2.223541760939102,maxent,0.7869991050391553,0.5265463600363509,0.26045274500280435,1890
2,2.25,2.223541760939102,xgboost,0.8908854760386598,0.5708742035478722,0.32001127249078754,1890
2,2.25,2.223541760939102,randomforest,0.850264373265491,0.5970525775670443,0.25321179569844665,1890
2,2.75,2.732556172777378,maxent,0.9118376879279463,0.5478591236909018,0.36397856423704444,1890
2,2.75,2.732556172777378,xgboost,0.9488896934158406,0.6047188220199068,0.34417087139593383,1890
2,2.75,2.732556172777378,randomforest,0.9453334963981389,0.6185390944850682,0.32679440191307074,1890
2,3.25,3.226083414662719,maxent,0.9193282132918927,0.5188897793511289,0.40043843394076384,1890
2,3.25,3.226083414662719,xgboost,0.9549546080048854,0.618083850411881,0.33687075759300444,1890
2,3.25,3.226083414662719,randomforest,0.962531071087047,0.6391877393646245,0.3233433317224226,1890
2,3.75,3.737066737251678,maxent,0.9412781975877685,0.538163634665113,0.4031145629226556,1890
2,3.75,3.737066737251678,xgboost,0.9475739352155126,0.6072020465634778,0.3403718886520348,1890
2,3.75,3.737066737251678,randomforest,0.9645583335058345,0.6475884308686387,0.3169699026371958,1890
2,4.25,4.236852876047623,maxent,0.9495302934568846,0.5476093952321266,0.40192089822475796,1890
2,4.25,4.236852876047623,xgboost,0.9469959241047029,0.5843812442887137,0.36261467981598916,1890
2,4.25,4.236852876047623,randomforest,0.9613428567548595,0.6488656563258887,0.31247720042897087,1890
3,0.75,0.865540169535247,maxent,0.985451346774531,0.5172484805943949,0.46820286618013607,1890
3,0.75,0.865540169535247,xgboost,0.98497675687378,0.5759610850008375,0.4090156718729424,1890
3,0.75,0.865540169535247,randomforest,0.9853617906487411,0.5571872464281882,0.4281745442205529,1890
3,1.25,1.2774442009014175,maxent,0.8789051293380112,0.5228922228223783,0.3560129065156329,1890
3,1.25,1.2774442009014175,xgboost,0.9008102873999053,0.5424381523817623,0.358372135018143,1890
