seed,block,train_design,algorithm,auc,tss,boyce
2,~40km,random,maxent,0.6937623713222514,0.37412723256993524,0.6071421991641383
2,~40km,random,xgboost,0.724218811564422,0.4315213864149188,0.41132128160957393
2,~40km,random,randomforest,0.7169570242788502,0.40846411317917947,0.6578745319986504
2,~40km,tgb,maxent,0.7244932740165089,0.4113138240258033,0.6671657244236591
2,~40km,tgb,xgboost,0.7268959650241928,0.4319994430022046,0.4438752232897872
2,~40km,tgb,randomforest,0.7355144659822219,0.4463159057550333,0.6352804218405681
2,~40km,hybrid,maxent,0.675802247734338,0.3647689010306758,0.6559169684232461
2,~40km,hybrid,xgboost,0.7286849070120696,0.4283573956916059,0.570979450181506
2,~40km,hybrid,randomforest,0.7234831512055985,0.4028697378086319,0.6387910654177033
2,~50km,random,maxent,0.697839891684582,0.40037087841573166,0.6674411799587329
2,~50km,random,xgboost,0.7135905762159951,0.39805564276479233,0.5973921041322695
2,~50km,random,randomforest,0.7255482159404909,0.4249181236654033,0.6991114890652083
2,~50km,tgb,maxent,0.7114853753537168,0.41516987106584446,0.6797485775622027
2,~50km,tgb,xgboost,0.7323953374800529,0.447914317847776,0.5288463027175803
2,~50km,tgb,randomforest,0.7321953290883076,0.42467346517748394,0.6535506908970886
2,~50km,hybrid,maxent,0.673607921563822,0.36052568432697796,0.646420662544491
2,~50km,hybrid,xgboost,0.7272591242199125,0.4198271465735862,0.6385590575653957
2,~50km,hybrid,randomforest,0.7202299075010948,0.42314950763109865,0.6827216055107008
2,~60km,random,maxent,0.682435021667247,0.366316224742687,0.5426613271750914
2,~60km,random,xgboost,0.7029729406363374,0.4103054222746202,0.30018233836243036
2,~60km,random,randomforest,0.7183424167226831,0.44154516541286865,0.6377506914440605
2,~60km,tgb,maxent,0.7033771551223678,0.38159034582618784,0.4838710849508985
2,~60km,tgb,xgboost,0.7247300969496179,0.4411155805214696,0.3348484607812131
2,~60km,tgb,randomforest,0.7262864019907737,0.45206964338035105,0.5156984822608528
2,~60km,hybrid,maxent,0.6659236033940377,0.3595463824626654,0.6494286246185326
2,~60km,hybrid,xgboost,0.7188954712856612,0.39384535302963514,0.5130904121528136
2,~60km,hybrid,randomforest,0.7221810674885978,0.41845281397513057,0.6396070643373628
3,~40km,random,maxent,0.692737206919275,0.37801041022697096,0.5726119343325579
3,~40km,random,xgboost,0.7126779196218338,0.4063917771322577,0.3422683617693568
3,~40km,random,randomforest,0.7036662823792436,0.3913241675137958,0.6243409920735191
3,~40km,tgb,maxent,0.6868248711240169,0.37942602251475765,0.5579111151610457
