lat,lon,composite_score,nearest_volcano,dist_volcano_km,estimated_burial_m
-7.54,112.58,0.718,Penanggungan,9.9,3.4
-7.9,112.84,0.717,Bromo,13.0,1.8
-8.0,112.88,0.716,Bromo,10.1,3.3
-7.7,112.46,0.716,Arjuno-Welirang,13.1,1.8
-7.54,112.68,0.716,Penanggungan,10.1,3.3
-8.04,112.86,0.715,Semeru,10.2,3.2
-7.86,112.86,0.713,Bromo,13.5,1.7
-7.82,112.36,0.713,Kelud,13.5,1.7
-7.82,112.94,0.713,Bromo,13.6,1.6
-7.82,112.96,0.713,Bromo,13.6,1.6
-7.84,112.88,0.712,Bromo,13.7,1.6
-8.06,112.84,0.711,Semeru,10.5,3.0
-7.68,112.46,0.711,Arjuno-Welirang,13.8,1.6
-7.88,112.84,0.71,Bromo,13.9,1.5
-7.82,112.92,0.71,Bromo,14.0,1.5
-7.82,112.98,0.71,Bromo,14.0,1.5
-7.58,112.54,0.71,Penanggungan,10.6,3.0
-7.52,112.62,0.709,Penanggungan,10.6,3.0
-7.52,112.64,0.709,Penanggungan,10.6,3.0
-8.04,112.3,0.708,Kelud,12.3,2.1
-7.94,112.82,0.708,Bromo,14.3,1.4
-7.62,112.76,0.708,Penanggungan,14.4,1.4
-7.58,112.72,0.708,Penanggungan,10.8,2.9
-8.04,112.32,0.707,Kelud,12.3,2.1
-8.02,112.88,0.707,Semeru,10.8,2.8
-7.96,112.82,0.707,Bromo,14.5,1.4
-7.92,112.82,0.707,Bromo,14.5,1.4
-7.8,112.3,0.707,Kelud,14.5,1.4
-7.8,112.32,0.707,Kelud,14.5,1.4
-7.6,112.76,0.707,Penanggungan,14.5,1.4
-8.02,112.24,0.706,Kelud,12.5,2.0
-8.0,112.22,0.706,Kelud,12.4,2.1
-7.82,112.9,0.706,Bromo,14.6,1.3
-8.04,112.28,0.705,Kelud,12.6,2.0
-7.98,112.82,0.705,Bromo,14.9,1.3
-7.98,112.92,0.705,Bromo,5.4,8.5
-7.98,112.98,0.705,Bromo,5.4,8.5
-7.98,113.0,0.705,Bromo,6.9,6.2
-7.98,113.28,0.705,Lamongan,6.9,6.2
-7.98,113.4,0.705,Lamongan,6.3,7.0
-7.96,113.0,0.705,Bromo,5.9,7.7
-7.96,113.02,0.705,Bromo,8.0,5.0
-7.96,113.28,0.705,Lamongan,7.2,5.9
-7.96,113.3,0.705,Lamongan,5.1,8.9
-7.96,113.4,0.705,Lamongan,6.6,6.7
-7.94,113.0,0.705,Bromo,5.5,8.2
-7.94,113.02,0.705,Bromo,7.7,5.3
-7.94,113.3,0.705,Lamongan,6.3,7.1
-7.94,113.38,0.705,Lamongan,5.8,7.8
-7.94,113.4,0.705,Lamongan,7.5,5.5
