arm,world,config,algorithm,n_observed,auc_own,auc_true,map_jaccard,spearman_full,spearman_remote
with_road,3,tgb,randomforest,496,0.8549370934074416,0.8409593008542089,0.6892929354353213,0.950874584263967,0.8434463628081579
no_road,4,random,maxent,500,0.8633842128084088,0.8238279667773576,0.9157299496586442,0.9892227699736447,0.9678533422644174
no_road,4,random,xgboost,500,0.8490208490014373,0.8151689168111208,0.6486646884272997,0.9419681110514008,0.882649159398712
no_road,4,random,randomforest,500,0.8588894790154763,0.8188242274613478,0.7930099719237099,0.9447573678000784,0.8247769118841399
with_road,4,random,maxent,500,0.8643092001202708,0.8231212414000074,0.891050186348088,0.987250893670784,0.9667506896579541
with_road,4,random,xgboost,500,0.8510396174128468,0.8152211394700176,0.6156798883331395,0.9431368384645951,0.8842428103733552
with_road,4,random,randomforest,500,0.857274168653601,0.8202714126622925,0.7822830288546362,0.9477590651517702,0.8460419286161153
no_road,4,tgb,maxent,500,0.8564548797328978,0.82364463922417,0.8202965025800639,0.9833460640732727,0.9561106359302732
no_road,4,tgb,xgboost,500,0.8385519238565381,0.8141093670751612,0.6497171786154371,0.941598433784496,0.88835883586516
no_road,4,tgb,randomforest,500,0.8508552736517843,0.8220869116592946,0.7872422556052369,0.9407360421624067,0.8006241753132943
with_road,4,tgb,maxent,500,0.8559064118062217,0.8232135347249887,0.8184793637286027,0.9815495211486442,0.9456200202122221
with_road,4,tgb,xgboost,500,0.8394178370362037,0.8163726311914514,0.6345984112974404,0.9444347099353879,0.8847193923020636
with_road,4,tgb,randomforest,500,0.8490333988407162,0.8203925653061935,0.7728991496083093,0.9410962940163907,0.8138631393461794
no_road,5,random,maxent,503,0.858339422540538,0.846411482877923,0.8649927830552852,0.9851124220015299,0.9463686040474671
no_road,5,random,xgboost,503,0.8419201932567815,0.8316149142763558,0.601291177911635,0.9438421279191587,0.9033732310535064
no_road,5,random,randomforest,503,0.8490730056248632,0.8400985083060526,0.7422116304228532,0.94329851273635,0.8512462167710466
