filename,title,lang,year_ce,century,word_count,total_keywords,indic,pre_indic,ambiguous,pre_indic_ratio,has_hyang,has_manhuri,has_wuku
DHARMA_INSIDENKHujungGaluh-Sangsang.xml,Hujung Galuh / Sangsang (907-05-04),unknown,907.0,10,695,7,5,0,2,0.0,False,False,False
DHARMA_INSIDENKHumanding.xml,The Polengan plates: Humanding charter (797 Śaka),kaw-Latn,875.0,9,584,6,3,1,2,0.167,True,False,False
DHARMA_INSIDENKHuwung.xml,Demarcation of Huwung (822/823 CE),kaw-Latn,823.0,9,55,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKJeruJeru.xml,Jeru-Jeru (852 Śaka),kaw-Latn,930.0,10,1441,10,7,1,2,0.1,True,False,False
DHARMA_INSIDENKJurungan.xml,The Polengan plates: Jurungan charter (798 Śaka),kaw-Latn,876.0,9,1401,5,2,1,2,0.2,True,False,False
DHARMA_INSIDENKKanjuruhan.xml,The Kanjuruhan Charter (682 Śaka),san-Latn,760.0,8,259,2,2,0,0,0.0,False,False,False
DHARMA_INSIDENKKarangloMojokerto.xml,Karang Lo (1019 Śaka),kaw-Latn,1097.0,11,12,2,1,1,0,0.5,True,False,False
DHARMA_INSIDENKKasugihan.xml,"Kasugihan (829 Śaka, 907-11-18)",kaw-Latn,907.0,10,386,4,3,1,0,0.25,True,False,False
DHARMA_INSIDENKKayuAraHiwang.xml,Kayu Ara Hiwang (823 Śaka),kaw-Latn,901.0,10,538,6,3,1,2,0.167,True,False,False
DHARMA_INSIDENKKayumwungan.xml,Kayumwungan charter of the Veṇuvanavihāra (746 Śaka),kaw-Latn,824.0,9,681,4,3,1,0,0.25,True,False,False
DHARMA_INSIDENKKetanen.xml,"Ketanen (826 Ś, 904/905)",unknown,904.0,10,197,1,1,0,0,0.0,False,False,False
DHARMA_INSIDENKKinewu.xml,Kinewu (829 Śaka – 907-11-20),unknown,907.0,10,577,6,4,1,1,0.167,True,False,False
DHARMA_INSIDENKKiringan.xml,Kiringan (917-11-14),kaw-Latn,917.0,10,269,3,2,1,0,0.333,True,False,False
DHARMA_INSIDENKKubu-Kubu.xml,"Kubu-Kubu (827 Ś, 905-10-17)",kaw-Latn,905.0,10,1009,7,5,2,0,0.286,True,True,False
DHARMA_INSIDENKKusambyan.xml,Kusambyan charter (945 Śaka),kaw-Latn,1023.0,11,389,2,1,1,0,0.5,True,False,False
DHARMA_INSIDENKLaguna.xml,Laguna Copper plate (820 Śaka),omy-Latn,898.0,9,141,3,3,0,0,0.0,False,False,False
DHARMA_INSIDENKLanda.xml,Resources of the temple at Landa (late 9th c. CE),kaw-Latn,850.0,9,179,2,0,1,1,0.5,True,False,False
DHARMA_INSIDENKLinggasuntan.xml,Linggasuntan (851 Śaka),kaw-Latn,929.0,10,1784,11,7,1,3,0.091,True,False,False
DHARMA_INSIDENKLintakan.xml,"Lintakan (841 Śaka, 919-07-12)",kaw-Latn,919.0,10,2131,10,6,1,3,0.1,True,False,False
DHARMA_INSIDENKMadhawapura.xml,Madhawapura (13th c. CE),kaw-Latn,1250.0,13,551,3,1,1,1,0.333,True,False,False
DHARMA_INSIDENKMamali.xml,The Polengan plates: Mamali Charter (800 Śaka),kaw-Latn,878.0,9,269,5,3,1,1,0.2,True,False,False
DHARMA_INSIDENKManahimanuk.xml,Manah i Manuk Charter (1350–1356 CE),kaw-Latn,1356.0,14,760,6,3,2,1,0.333,True,True,False
DHARMA_INSIDENKManjusrigerha.xml,Manjusrigerha (792 CE),omy-Latn,792.0,8,139,4,3,1,0,0.25,True,False,False
DHARMA_INSIDENKMantyasihII.xml,"Mantyasih II (829 Śaka, 907-04-11)",kaw-Latn,907.0,10,117,4,2,1,1,0.25,True,False,False
DHARMA_INSIDENKMaribong.xml,The Maribong Charter of Wisnuwardhana (1170 Śaka),kaw-Latn,1248.0,13,73,7,6,1,0,0.143,False,False,True
DHARMA_INSIDENKMarsemu.xml,"Marsemu charter, ca. 875 CE",kaw-Latn,875.0,9,51,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKMasahar.xml,Charter of Masahar (852 Śaka),kaw-Latn,930.0,10,1893,14,8,3,3,0.214,True,True,False
DHARMA_INSIDENKMunggut.xml,Munggut charter (944 Śaka),kaw-Latn,1022.0,11,1112,14,9,4,1,0.286,True,True,False
DHARMA_INSIDENKNglumbangDungik.xml,Stone from Nglumbang Dungik (9th-10th c. CE),san-Latn,950.0,10,24,1,0,1,0,1.0,True,False,False
DHARMA_INSIDENKPadingding.xml,"Stray plate of a foundation bordering on Paḍiṅḍiṅ, Paṅeran and Pajənvan (14th c. CE)",kaw-Latn,1350.0,14,278,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKPakisWetan.xml,The Pakis Wetan Charter of Kertanagara (1188 Śaka),kaw-Latn,1266.0,13,130,8,6,2,0,0.25,False,True,True
DHARMA_INSIDENKPalepangan.xml,Palepangan charter (828 Śaka),kaw-Latn,906.0,10,386,5,4,0,1,0.0,False,False,False
DHARMA_INSIDENKPananggaran.xml,Pananggaran (791 Śaka),kaw-Latn,869.0,9,90,4,3,1,0,0.25,True,False,False
DHARMA_INSIDENKPanunggalan.xml,"Panunggalan charter (818 Śaka, 896-08-15 CE)",kaw-Latn,896.0,9,230,5,4,1,0,0.2,True,False,False
DHARMA_INSIDENKParablyan.xml,Parablyan (between 1177 and 1208 Śaka),kaw-Latn,1286.0,13,256,4,2,2,0,0.5,True,True,False
DHARMA_INSIDENKPesindon.xml,Pesindon I and II (914-08-14),kaw-Latn,914.0,10,60,5,4,1,0,0.2,True,False,False
DHARMA_INSIDENKPlalangan.xml,Stone from Plalangan (9th-10th c. CE),san-Latn,950.0,10,38,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKPucangan.xml,Charter of Pucangan (1041-11-6),kaw-Latn,1041.0,11,1848,16,13,1,2,0.062,True,False,False
DHARMA_INSIDENKPuhawangGlis.xml,Puhawang Glis (749 Śaka),omy-Latn,827.0,9,78,4,3,1,0,0.25,True,False,False
DHARMA_INSIDENKRabvan.xml,"Rabvan (827 Śaka, 906-02-03)",unknown,906.0,10,29,3,3,0,0,0.0,False,False,False
DHARMA_INSIDENKRaKidanI.xml,Ra Kidan I (750-800 Śaka),kaw-Latn,878.0,9,126,4,2,1,1,0.25,True,False,False
DHARMA_INSIDENKRameswarapura.xml,Rameswarapura charter (1197 Śaka),kaw-Latn,1275.0,13,2091,11,6,2,3,0.182,True,True,False
DHARMA_INSIDENKRampal.xml,Rampal (ca. 875 CE),kaw-Latn,875.0,9,404,3,3,0,0,0.0,False,False,False
DHARMA_INSIDENKRukam.xml,Charter of Rukam (829 Śaka),kaw-Latn,907.0,10,1528,9,4,2,3,0.222,True,True,False
DHARMA_INSIDENKRumwigaI.xml,"Rumwiga I (826 Śaka, 904-12-28)",unknown,904.0,10,474,5,4,1,0,0.2,True,False,False
DHARMA_INSIDENKRumwigaII.xml,"Rumwiga II (827 Śaka, 905-07-05)",unknown,905.0,10,522,6,5,0,1,0.0,False,False,False
DHARMA_INSIDENKSalingsinganII.xml,Donation Record of Salingsingan II (802 Śaka) and Kikil Batu Addendum (827 Śaka),kaw-Latn,880.0,9,699,6,4,0,2,0.0,False,False,False
DHARMA_INSIDENKSamalagi.xml,"Samalagi ([824 Ś], 902-10-29)",unknown,902.0,10,431,4,1,1,2,0.25,True,False,False
DHARMA_INSIDENKSanga.xml,Charter of Sanga (13th c. CE),kaw-Latn,1250.0,13,381,3,0,2,1,0.667,True,True,False
DHARMA_INSIDENKSangguran.xml,Sangguran Charter (928-08-02),kaw-Latn,928.0,10,2054,11,6,1,4,0.091,True,False,False
DHARMA_INSIDENKSangHyangTapak.xml,Sang Hyang Tapak Charter of Jayabhūpati (952 Śaka),kaw-Latn,1030.0,11,335,6,4,1,1,0.167,True,False,False
DHARMA_INSIDENKSangMakudur.xml,"Sang Makudur (~830 Śaka, ~908 CE)",unknown,908.0,10,0,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKSarwadharma.xml,Sarwadharma (1191 Śaka),kaw-Latn,1269.0,13,1055,8,6,2,0,0.25,True,True,False
DHARMA_INSIDENKSikuLalawa.xml,Stray plate of a foundation bordering on Halaṅan and Taratap (13th c. CE),kaw-Latn,1250.0,13,246,1,0,1,0,1.0,True,False,False
DHARMA_INSIDENKSilamanikundala.xml,Foundation of a Dam Called Śilāmaṇi-kuṇḍala (1272 Śaka),kaw-Latn,1350.0,14,220,4,4,0,0,0.0,False,False,False
DHARMA_INSIDENKSimaAnglayang.xml,Sima Anglayang charter (in or after 968 Śaka),kaw-Latn,1046.0,11,2401,10,6,2,2,0.2,True,False,False
DHARMA_INSIDENKSindoro-PuBahut.xml,Pu Bahut (828 Śaka),kaw-Latn,906.0,10,320,4,3,0,1,0.0,False,False,False
DHARMA_INSIDENKSindoro-PuMamruk.xml,Pu Mamruk (828 Śaka),kaw-Latn,906.0,10,259,3,3,0,0,0.0,False,False,False
DHARMA_INSIDENKSriManggalaII.xml,Sri Manggala II (796 Śaka),kaw-Latn,874.0,9,111,5,4,0,1,0.0,False,False,False
DHARMA_INSIDENKSriManggalaIII.xml,Sri Manggala III (796 Śaka),kaw-Latn,874.0,9,90,6,4,1,1,0.167,True,False,False
DHARMA_INSIDENKSugihManek.xml,"Sugih Manek Charter (837 Śaka, 915-09-13)",kaw-Latn,915.0,10,1367,10,7,2,1,0.2,True,True,False
DHARMA_INSIDENKSumundul.xml,Sumundul (791 Śaka),kaw-Latn,869.0,9,102,4,3,1,0,0.25,True,False,False
DHARMA_INSIDENKTaji.xml,"The Charter of Taji (823 Śaka, 8 April 901)",kaw-Latn,901.0,10,1211,6,4,1,1,0.167,True,False,False
DHARMA_INSIDENKTajiGunung.xml,"Taji Gunung (Sañjaya 194, 910-12-21)",kaw-Latn,910.0,10,950,7,3,2,2,0.286,True,False,False
DHARMA_INSIDENKTalan.xml,Charter of Talan (941 and 1058 Śaka),kaw-Latn,1136.0,12,969,9,5,2,2,0.222,True,False,False
DHARMA_INSIDENKTaragal.xml,The Polengan plates: Taragal Charter (802 Śaka),kaw-Latn,880.0,9,511,5,3,1,1,0.2,True,False,False
DHARMA_INSIDENKTelangII-WanagiriII.xml,"Telang II / Wanagiri II (825 Ś, 904-01-11)",unknown,904.0,10,177,4,4,0,0,0.0,False,False,False
DHARMA_INSIDENKTigaRon-TluRon.xml,Charter of Tiga Ron also called Təlu Ron (822 Śaka – 900-03-30),kaw-Latn,900.0,9,659,2,1,1,0,0.5,True,False,False
DHARMA_INSIDENKTihang.xml,"Tihang charter (Sañjaya 198, 836 Śaka, 914-11-08 CE)",kaw-Latn,914.0,10,396,7,4,1,2,0.143,True,False,False
DHARMA_INSIDENKTija-HaruHaru.xml,Tija & Haru-Haru (11th c. CE?),kaw-Latn,1050.0,11,427,2,1,0,1,0.0,False,False,False
DHARMA_INSIDENKTimbananWungkal.xml,"Timbanan Wungkal (Sañjaya 196, 913-02-11)",kaw-Latn,913.0,10,255,5,3,1,1,0.2,False,True,False
DHARMA_INSIDENKTugu.xml,Tugu Boulder Inscription of Pūrṇavarman (ca. 6th c. CE),san-Latn,550.0,6,59,1,1,0,0,0.0,False,False,False
