rank,language,concept,form,p_substrate,semantic_domain,form_length,vowel_ratio,ends_in_vowel,has_glottal,has_nasal_cluster,has_reduplication,n_consonant_clusters,has_prefix_like
195,Muna,worm (earthworm),ghundeletu,0.63763833,OTHER,10,0.4,1,0,1,0,2,0
196,Makassar,how?,antekamma,0.6357198,GRAMMAR,9,0.4444,1,0,1,0,2,0
197,Bugis,to hit,tətteʔ,0.63468623,ACTION,6,0.3333,0,1,0,0,1,0
198,Toraja-Sadan,to come,sae,0.63264024,ACTION,3,0.6667,1,0,0,0,0,0
199,Makassar,to cook,appallu,0.6279022,ACTION,7,0.4286,1,0,0,0,2,0
200,Wolio,Six,ʔana,0.6271281,NUMBER,4,0.5,1,1,0,0,0,0
201,Tolaki,"no, not",oki,0.62704706,GRAMMAR,3,0.6667,1,0,0,0,0,0
202,Wolio,"to cut, hack",laelae,0.62657183,ACTION,6,0.6667,1,0,0,1,0,0
203,Tolaki,"to tie up, fasten",onggo,0.62526643,ACTION,5,0.4,1,0,1,0,1,0
204,Bugis,to blow,mat-tappoʔ,0.61623806,ACTION,10,0.3,0,1,0,1,1,1
205,Wolio,to turn,beŋku,0.61452055,ACTION,5,0.4,1,0,1,0,1,0
206,Makassar,when?,riŋapanna,0.6136502,GRAMMAR,9,0.4444,1,0,1,0,1,0
207,Bugis,grass,sarii,0.608326,NATURE,5,0.6,1,0,0,0,0,0
208,Bugis,grass,sərii,0.608326,NATURE,5,0.6,1,0,0,0,0,0
209,Bugis,all,manəŋ,0.6074203,GRAMMAR,5,0.4,0,0,1,0,0,1
210,Bugis,"to stab, pierce",maʔ-gajaŋ,0.6056596,ACTION,9,0.3333,0,1,1,1,0,1
211,Bugis,thick,ma-umpəʔ,0.60493827,QUALITY,8,0.375,0,1,1,1,1,1
212,Wolio,root,kulese,0.6032141,NATURE,6,0.5,1,0,0,0,0,0
213,Wolio,to scratch,kaŋkaru,0.60219914,ACTION,7,0.4286,1,0,1,0,1,1
214,Wolio,to swell,tente,0.6020914,ACTION,5,0.4,1,0,1,0,1,0
215,Wolio,to bite,tompa,0.6020914,ACTION,5,0.4,1,0,1,0,1,0
216,Wolio,to flow,siwulu,0.6011702,ACTION,6,0.5,1,0,0,0,0,0
217,Muna,"to tie up, fasten",aekooli,0.6009923,ACTION,7,0.7143,1,0,0,0,0,0
218,Bugis,to stand,təttoŋ,0.59736997,ACTION,6,0.3333,0,0,1,0,1,0
219,Wolio,Twenty,rua pulu,0.5964891,NUMBER,8,0.5,1,0,0,0,0,0
220,Tolaki,day,oleo,0.59571874,OTHER,4,0.75,1,0,0,0,0,0
221,Tolaki,rope,oloo,0.59571874,OTHER,4,0.75,1,0,0,0,0,0
222,Wolio,all,maliŋu,0.59458625,GRAMMAR,6,0.5,1,0,1,0,0,1
223,Bugis,to hunt,rəŋŋəŋ,0.5915811,ACTION,6,0.3333,0,0,1,0,1,0
224,Bugis,if,rekko,0.59122884,GRAMMAR,5,0.4,1,0,0,0,1,0
225,Bugis,to eat,manre,0.59005487,ACTION,5,0.4,1,0,0,0,1,1
226,Makassar,to throw,aññambila,0.5831845,ACTION,9,0.4444,1,0,1,0,2,0
227,Makassar,rotten,bottoʔ,0.5830178,QUALITY,6,0.3333,0,1,0,0,1,0
228,Bugis,to hold,warəkkəŋ,0.581144,ACTION,8,0.375,0,0,1,0,1,0
229,Wolio,far,marido,0.5793058,GRAMMAR,6,0.5,1,0,0,0,0,1
230,Wolio,near,makasu,0.5793058,GRAMMAR,6,0.5,1,0,0,0,0,1
231,Makassar,to squeeze,ammaccoʔ,0.5771949,ACTION,8,0.375,0,1,0,0,2,0
232,Muna,to bite,aesia,0.5758656,ACTION,5,0.8,1,0,0,0,0,0
233,Wolio,"to pound, beat",purokoti,0.57544553,ACTION,8,0.5,1,0,0,0,0,0
234,Bugis,near,ma-caweʔ,0.57297146,GRAMMAR,8,0.375,0,1,0,1,0,1
235,Tolaki,mouth,pondu,0.5717603,BODY,5,0.4,1,0,1,0,1,1
236,Bugis,to throw,maʔ-dempəʔ,0.5699661,ACTION,10,0.3,0,1,1,1,1,1
237,Wolio,to sit,uncura,0.569224,ACTION,6,0.5,1,0,1,0,1,0
238,Muna,to count,aefeapi,0.56760573,ACTION,7,0.7143,1,0,0,0,0,0
239,Wolio,old,mancuana,0.56251335,QUALITY,8,0.5,1,0,1,0,1,1
240,Makassar,to vomit,laŋŋɛ,0.5605893,ACTION,5,0.4,1,0,1,0,1,0
241,Toraja-Sadan,cold,ma-sakkaʔ,0.5572027,QUALITY,9,0.3333,0,1,0,1,1,1
242,Makassar,to hit,annunruŋ,0.5553496,ACTION,8,0.375,0,0,1,0,2,0
243,Makassar,to stand,ammenteŋ,0.5553496,ACTION,8,0.375,0,0,1,0,2,0
244,Bugis,to fly,luttu,0.5520025,ACTION,5,0.4,1,0,0,0,1,0
245,Bugis,to walk,joppa,0.5520025,ACTION,5,0.4,1,0,0,0,1,0
246,Bugis,to walk,jokka,0.5520025,ACTION,5,0.4,1,0,0,0,1,0
247,Makassar,fruit,rapporappo,0.5488315,NATURE,10,0.4,1,0,0,0,2,0
248,Makassar,sea,tamparaŋ,0.54863626,NATURE,8,0.375,0,0,1,0,1,1
249,Tolaki,short,putu,0.54417753,QUALITY,4,0.5,1,0,0,0,0,0
250,Makassar,where?,kɛmàɛ,0.54194987,GRAMMAR,5,0.6,1,0,0,0,0,0
251,Muna,to cook,aegau,0.53795207,ACTION,5,0.8,1,0,0,0,0,0
252,Wolio,this,sii,0.53641546,GRAMMAR,3,0.6667,1,0,0,0,0,0
253,Bugis,hair,gəmməʔ,0.5352906,BODY,6,0.3333,0,1,0,0,1,0
254,Bugis,fat/grease,lunraʔ,0.5352906,BODY,6,0.3333,0,1,0,0,1,0
255,Bugis,woman/female,makunrai,0.5305377,OTHER,8,0.5,1,0,0,0,1,1
256,Makassar,black,lɛʔlɛŋ,0.52339447,QUALITY,6,0.3333,0,1,1,0,1,0
257,Tolaki,to throw,kali,0.5215132,ACTION,4,0.5,1,0,0,0,0,1
258,Makassar,to cry,aŋŋarruʔ,0.52019095,ACTION,8,0.375,0,1,1,0,2,1
259,Makassar,to split,ammuɛ,0.5173961,ACTION,5,0.6,1,0,0,0,1,0
260,Wolio,sea,andala,0.51701164,NATURE,6,0.5,1,0,1,0,1,0
261,Toraja-Sadan,"no, not",taeʔ,0.5167879,GRAMMAR,4,0.5,0,1,0,0,0,1
262,Wolio,to burn,maŋau,0.5142977,ACTION,5,0.6,1,0,1,0,0,1
263,Makassar,fire,pɛpɛʔ,0.5113206,NATURE,5,0.4,0,1,0,1,0,0
264,Wolio,to bite,bembaru,0.51000583,ACTION,7,0.4286,1,0,1,0,1,0
265,Bugis,rotten,ma-kəbboŋ,0.5092389,QUALITY,9,0.3333,0,0,1,1,1,1
266,Makassar,other,maraɛŋ,0.5027397,GRAMMAR,6,0.5,0,0,1,0,0,1
