site_id,name,lat,lon,label,class,season,scene_date,cloud_pct,ndvi_mean,ndvi_std,ndvi_center,ndvi_ring,ndvi_diff,ndvi_lvar,ndwi_mean,ndwi_std,ndwi_center,ndwi_ring,ndwi_diff,ndwi_lvar,msavi_mean,msavi_center,msavi_diff,clay_ratio,iron_oxide
OSM46,Kompleks Candi Sumberawan,-7.8553516,112.6448151,soft_positive,1,dry,2024-08-12,0.720913,0.40669116771425323,0.11224998205531754,0.45559462816019336,0.3910410402952212,0.06455358786497217,0.0029634619793653563,-0.3951098674699285,0.08559487233446908,-0.4156508055244476,-0.3826318972018898,-0.03301890832255783,0.0016534751978694775,0.5683105880813198,0.6207833732952406,0.0697372715701221,1.3388095746696265,0.9700896070958038
OSM47,Candi Pari,-7.5161315,112.6834255,soft_positive,1,dry,2024-08-12,0.720913,0.2818542967776666,0.15803081996820337,0.20978274278915834,0.30276661294512236,-0.09298387015596402,0.004778411101601595,-0.28745831647657066,0.1188889399317618,-0.2347837779163286,-0.3034709742501745,0.0686871963338459,0.0029737308841110035,0.41627220386416375,0.3261404627990157,-0.11437664715279794,1.199250041868024,1.0100057749078144
OSM48,Situs Watu Gong,-7.9388986,112.5975542,soft_positive,1,dry,2024-08-12,0.720913,0.22249573091602115,0.16417425102607927,0.2548366929088392,0.217150522585178,0.0376861703236612,0.004513441718897303,-0.23487363717105278,0.13658153698728345,-0.2628811958975759,-0.23083873529356397,-0.032042460604011946,0.0035831527653409022,0.3361253052620792,0.3731185971522041,0.04217795551630216,1.1362436608000241,1.0245432164416417
OSM49,Candi Cetho,-7.5957362,111.1581311,soft_positive,1,dry,2024-07-26,3.090687,0.06623774671402438,0.08914808638321779,0.11189800473809232,0.059168374227375614,0.052729630510716705,0.0004745904250972879,-0.036669674751943,0.07746423748557185,-0.07061191304319152,-0.03077442688590283,-0.03983748615728869,0.00029036817406241313,0.11260609286158645,0.19402185894809235,0.0949215668180033,1.1032490530451784,0.9422942981998911
OSM50,Candi Menak Jinggo,-7.5583872,112.3865115,soft_positive,1,dry,2024-07-16,0.767885,0.34960573230405445,0.13972700288565118,0.39821466297997454,0.3394903601382592,0.05872430284171537,0.0027388083937518203,-0.3202432076635248,0.12211799706647568,-0.3685915998971978,-0.30795991888099195,-0.06063168101620586,0.0017907344656828454,0.50122543680474,0.5544644540894046,0.0648511289407459,1.2722889629858678,0.9339719674329244
OSM51,Situs Kumitir,-7.5707338,112.4117737,soft_positive,1,dry,2024-07-16,0.767885,0.30779315416458164,0.1316703439954667,0.22960177915549587,0.33319180820951994,-0.10359002905402406,0.0024202438624983187,-0.30703616318768395,0.09771942641861597,-0.24582589397021692,-0.32634348652262335,0.08051759255240643,0.001371104833722947,0.45505866154262986,0.3670413031436368,-0.11736683250829655,1.2780812221397118,0.995988464721921
OSM52,Situs Genting,-7.5714269,112.5898064,soft_positive,1,dry,2024-08-12,0.720913,0.31658668898287845,0.10059259650302764,0.3305036932383931,0.32291217296682617,0.007591520271566954,0.0016562893993331436,-0.3173730179836812,0.07140082712784411,-0.32811752099294167,-0.3243994939436902,-0.003718027049251449,0.0008619508224725805,0.4718448833708695,0.4938076303433661,0.014655939954662245,1.2979663803930888,1.0008026918562785
OSM53,Candi Bangkal,-7.543221,112.6355351,soft_positive,1,dry,2024-08-12,0.720913,0.373226577726528,0.15548023358373797,0.3148135004304338,0.3708286911871446,-0.0560151907567108,0.002760106135422049,-0.3405854739348454,0.1339167518470071,-0.3125977341713305,-0.3370148137442132,0.024417079572882694,0.002039199320766304,0.5228908402153671,0.4576761791251886,-0.06520126729966763,1.3096926953393742,0.9232716225430051
OSM54,Situs Tarik Raden Wijaya Majapahit,-7.4527626,112.4827118,soft_positive,1,dry,2024-07-16,0.767885,0.2577974482742275,0.13163235072618978,0.3274114857556681,0.2524159141834066,0.0749955715722615,0.002631749511443218,-0.22553731463247323,0.1247943424191987,-0.3002989435683165,-0.21978972457525026,-0.08050921899306623,0.002177960336023542,0.3915025901773266,0.4797450814721634,0.09505263480258286,1.257400706842515,0.9327647587901927
OSM55,Candi Petirtaan Belahan,-7.6075228,112.6513504,soft_positive,1,dry,2024-08-12,0.720913,0.4605254051394207,0.07625023486827581,0.49691066631444125,0.45746677507492245,0.0394438912395188,0.0017268670778716776,-0.4258737805733108,0.05828050221088769,-0.4545893855598391,-0.4230935590940821,-0.03149582646575699,0.0010351632289766141,0.6265813440471651,0.6599091284515748,0.0358720456996755,1.4130926494455422,0.9153233558207665
OSM56,Situs Candi Terung,-7.3947721,112.6203456,soft_positive,1,dry,2024-08-12,0.720913,0.23819274274505628,0.1346939549833193,0.33770054522706433,0.2207497811544755,0.11695076407258884,0.0037454838657342763,-0.24399679848009515,0.11281423476245944,-0.3280822037534652,-0.22883049140552886,-0.09925171234793634,0.0023040799691038337,0.3662599721953533,0.49330682873843673,0.15009435755914718,1.1818512243439574,1.0118407736361161
OSM57,Candi Kesiman,-7.6504231,112.5299286,soft_positive,1,dry,2024-08-12,0.720913,0.33241254938714865,0.10340356080153729,0.3676301979633152,0.33369317355788103,0.03393702440543417,0.0028198376242259317,-0.3165331935654348,0.08132187698616167,-0.3416975211401195,-0.3168660647589611,-0.024831456381158357,0.0017448069648513592,0.48983198381823484,0.532390685545929,0.04130690539166615,1.2932158284482234,0.9630313981909563
OSM58,Situs Gapura Majapahit,-7.4274762,112.3593053,soft_positive,1,dry,2024-07-16,0.767885,0.29917075254921566,0.1208983775722294,0.2419564061135595,0.30942725011175404,-0.06747084399819453,0.0027610922228668857,-0.29425249997590275,0.0935991503844058,-0.2665679272572413,-0.30143807256956917,0.03487014531232785,0.0017106460008158148,0.44680257096762926,0.3813818516005898,-0.07678860906464596,1.2838166188017315,0.9879132922971025
OSM59,Candi Patakan,-7.2836656,112.2565327,soft_positive,1,dry,2024-07-16,0.011199,0.3327801247820196,0.10498347296074481,0.33320197860136874,0.32950948418262543,0.0036924944187433084,0.002085622704025461,-0.32740239188026343,0.07217193273268677,-0.33510462612737,-0.32411777881124443,-0.010986847316125592,0.0011463509000896298,0.48964287273971124,0.49244186617161856,0.007617841368606326,1.305354484291255,0.9869859741513497
OSM60,Prasasti Cunggrang,-7.5798158,112.6849627,soft_positive,1,dry,2024-08-12,0.720913,0.25343658180618117,0.13026870764305018,0.2123243097732236,0.26705161146331785,-0.05472730169009424,0.0025853179090411563,-0.25139225571975005,0.100398532370692,-0.21927389852315637,-0.26132551660456266,0.04205161808140628,0.0017316717242707815,0.38721778845262156,0.3384309653089781,-0.06494986522806906,1.189389296131046,0.994367400141474
OSM61,Situs Petirtaan Brumbung,-7.799256,112.2885931,soft_positive,1,dry,2024-07-16,0.767885,0.37469529902612997,0.12189454958672995,0.41603904034104017,0.37736697440851324,0.03867206593252692,0.004056044195146464,-0.3549627179032687,0.09788746110161284,-0.3901021494500864,-0.3563668808587571,-0.033735268591329304,0.002654412911132907,0.5330005039250649,0.5811326642315499,0.045065650055257866,1.2982728743069905,0.9521596995600866
OSM62,Candi Surowono,-7.7464638,112.2180204,soft_positive,1,dry,2024-07-16,0.767885,0.2820250483963412,0.15009859905368536,0.3183140337435735,0.28614041055112516,0.03217362319244832,0.004948906689960663,-0.2573893999943451,0.1451153553023532,-0.30984042339662043,-0.258373583643791,-0.05146683975282945,0.003964062238436359,0.4184994141617006,0.46933897048904444,0.04745447481126558,1.186234735485416,0.9478056911632646
OSM63,Candi Tegowangi,-7.7347204,112.1611752,soft_positive,1,dry,2024-07-16,0.767885,0.3375772361736663,0.12778271153194398,0.3980146551044604,0.3434049284123353,0.054609726692125105,0.004342943628573473,-0.3267046561791499,0.1011005130469906,-0.3713448006704596,-0.3315285528603919,-0.039816247810067706,0.002855010148338908,0.4906816705147911,0.5610984293379397,0.06351857361661845,1.2403026185141393,0.9727539753010085
