# Old Javanese	kaw	https://github.com/davidmoeljadi/OJW	CC BY 4.0
01968165-a	kaw:lemma	dina-dina
00904745-a	kaw:lemma	dinīna
01675190-a	kaw:lemma	diwya	dibya
00250739-a	kaw:lemma	doropon
00888765-a	kaw:lemma	drĕṅgi
02515341-a	kaw:lemma	dṛśya
01410363-a	kaw:lemma	dudū
01010862-a	kaw:lemma	ḍumuhun
01049462-a	kaw:lemma	durlakṣmī
02025498-a	kaw:lemma	durlakṣmī
00439588-a	kaw:lemma	durmedha
00831225-a	kaw:lemma	durmedha
00439588-a	kaw:lemma	duṣprajña
02251212-a	kaw:lemma	ekaki
00419289-a	kaw:lemma	emĕl
00393105-a	kaw:lemma	ĕpik
00153898-a	kaw:lemma	eraṅ
00032733-a	kaw:lemma	gapitan
00173220-a	kaw:lemma	garbhiṇī
01263013-a	kaw:lemma	garwa
01889256-a	kaw:lemma	garwa
01889819-a	kaw:lemma	garwita
00913454-a	kaw:lemma	gasal
00520214-a	kaw:lemma	gĕnĕp
01083157-a	kaw:lemma	gĕnĕp
02431728-a	kaw:lemma	gĕñjor
02510879-a	kaw:lemma	ghora
01452593-a	kaw:lemma	ghūrṇita
00885695-a	kaw:lemma	girahyasĕn
00919542-a	kaw:lemma	girahyasĕn
01891773-a	kaw:lemma	guragaḍa
02510879-a	kaw:lemma	guragaḍa
02389220-a	kaw:lemma	hagahĕn	haga-hagahĕn
02390335-a	kaw:lemma	hagahĕn	haga-hagahĕn
00919542-a	kaw:lemma	hamham
01640850-a	kaw:lemma	hañar-hañaran
00810916-a	kaw:lemma	haṅun-aṅun	haṅu-haṅun
00919542-a	kaw:lemma	haṅun-aṅun	haṅu-haṅun
01361414-a	kaw:lemma	harṣaja
01918984-a	kaw:lemma	hĕnĕṅ	ĕnĕṅ, hĕnaṅ
01922763-a	kaw:lemma	hĕnĕṅ	ĕnĕṅ, hĕnaṅ
01889819-a	kaw:lemma	hĕṅkara
02324397-a	kaw:lemma	hīnabala
01049462-a	kaw:lemma	hīnabhāgya
02025498-a	kaw:lemma	hīnadhana
02324397-a	kaw:lemma	hīnawīrya
01003050-a	kaw:lemma	huwus
02341266-a	kaw:lemma	inatiśaya	umatiśaya
00800826-a	kaw:lemma	iṅid-iṅidan
00888765-a	kaw:lemma	īrṣya
00153898-a	kaw:lemma	isin
02069355-a	kaw:lemma	itara
02570282-a	kaw:lemma	jañjan
01643620-a	kaw:lemma	jaramanta
01905653-a	kaw:lemma	jarnih
00217728-a	kaw:lemma	jātirūpa
00077645-a	kaw:lemma	jĕjĕrih
00392812-a	kaw:lemma	jĕmbul
02384077-a	kaw:lemma	jĕwah
00760916-a	kaw:lemma	jugjug
02314584-a	kaw:lemma	jugjug
00439588-a	kaw:lemma	jugul
00831225-a	kaw:lemma	jugul
00760916-a	kaw:lemma	jujug
02314584-a	kaw:lemma	jujug
00013887-a	kaw:lemma	jumbuh
01010862-a	kaw:lemma	jyeṣṭha
01277426-a	kaw:lemma	jyeṣṭha
00919542-a	kaw:lemma	kaboṅan
00113818-a	kaw:lemma	kabrahman
02515341-a	kaw:lemma	kacakṣugraha
02515341-a	kaw:lemma	kadriyan
01727926-a	kaw:lemma	kahaliwat	kaliwat
02547317-a	kaw:lemma	kahīsan
