rank,language,concept,form,p_substrate,p_austronesian,e022_tier,form_length,vowel_ratio,ends_in_vowel,has_glottal,has_nasal_cluster,has_prefix_like,semantic_domain
123,Tolaki,what?,hawo,0.8075,0.1925,0,4,0.5,1,0,0,0,GRAMMAR
124,Makassar,if,punna,0.7942,0.2058,1,5,0.4,1,0,0,0,GRAMMAR
125,Makassar,to vomit,taʔlaŋŋɛ,0.7915,0.2085,3,8,0.375,1,1,1,1,ACTION
126,Tolaki,stick/wood,tangge,0.7887,0.2113,0,6,0.333,1,0,1,1,OTHER
127,Makassar,One Hundred,sibilaŋŋaŋ,0.7862,0.2138,2,10,0.4,0,0,1,0,NUMBER
128,Bugis,"to stab, pierce",soppaʔ,0.7861,0.2139,3,6,0.333,0,1,0,0,ACTION
129,Tolaki,man/male,langgai,0.7812,0.2188,0,7,0.429,1,0,1,0,OTHER
130,Tolaki,husband,langgai,0.7812,0.2188,0,7,0.429,1,0,1,0,OTHER
131,Bugis,to split,pue,0.7793,0.2207,2,3,0.667,1,0,0,0,ACTION
132,Wolio,mosquito,kawaowaode,0.7726,0.2274,0,10,0.6,1,0,0,1,OTHER
133,Makassar,to fall,tuʔguruʔ,0.7717,0.2283,2,8,0.375,0,1,0,0,ACTION
134,Tolaki,neck,woroko,0.7688,0.2312,0,6,0.5,1,0,0,0,BODY
135,Wolio,to say,kooni,0.7637,0.2363,0,5,0.6,1,0,0,0,ACTION
136,Makassar,"to live, be alive",tallasaʔ,0.7605,0.2395,0,8,0.375,0,1,0,1,ACTION
137,Toraja-Sadan,Ten,sangpulo,0.7578,0.2422,0,8,0.375,1,0,1,0,NUMBER
138,Tolaki,grass,rembu,0.7547,0.2453,1,5,0.4,1,0,1,0,NATURE
139,Tolaki,wind,pua,0.7522,0.2478,0,3,0.667,1,0,0,0,NATURE
140,Tolaki,to cry,hono,0.7509,0.2491,3,4,0.5,1,0,0,0,ACTION
141,Tolaki,to burn,hunu,0.7509,0.2491,0,4,0.5,1,0,0,0,ACTION
142,Wolio,intestines,ŋkaluŋkalu,0.7431,0.2569,3,10,0.4,1,0,1,0,BODY
143,Toraja-Sadan,other,seŋaʔ,0.7337,0.2663,3,5,0.4,0,1,1,0,GRAMMAR
144,Muna,intestines,ghule-ghule,0.7332,0.2668,3,11,0.364,1,0,0,0,BODY
145,Tolaki,feather,wulumanumanu,0.7326,0.2674,0,12,0.5,1,0,0,0,BODY
146,Bugis,short,ma-poncoʔ,0.7278,0.2722,3,9,0.333,0,1,1,1,QUALITY
147,Wolio,"in, inside",nuñca,0.7276,0.2724,0,5,0.4,1,0,0,0,GRAMMAR
148,Wolio,to sew,posorumba,0.7259,0.2741,3,9,0.444,1,0,1,1,ACTION
149,Toraja-Sadan,Twenty,duaŋpulo,0.7255,0.2745,2,8,0.5,1,0,1,0,NUMBER
150,Makassar,wing,kaʔñiʔ,0.7244,0.2756,0,6,0.333,0,1,0,1,BODY
151,Bugis,to hold,mak-katənni,0.7237,0.2763,0,11,0.364,1,0,0,1,ACTION
152,Makassar,dry,kalotoroʔ,0.7226,0.2774,3,9,0.444,0,1,0,1,QUALITY
153,Makassar,bird,jaŋanɟaŋaŋ,0.7218,0.2782,0,10,0.4,0,0,1,0,OTHER
154,Wolio,cloud,ta'ina ŋalu,0.7162,0.2838,0,11,0.455,1,1,1,1,NATURE
155,Wolio,to stand,kabalebale,0.7114,0.2886,0,10,0.5,1,0,0,1,ACTION
156,Tolaki,to hit,toni,0.7113,0.2887,0,4,0.5,1,0,0,0,ACTION
157,Tolaki,to grow,toro,0.7113,0.2887,0,4,0.5,1,0,0,0,ACTION
158,Wolio,other,mosagaanana,0.706,0.294,3,11,0.545,1,0,0,1,GRAMMAR
159,Tolaki,to breathe,mehonahona,0.7023,0.2977,2,10,0.5,1,0,0,1,ACTION
160,Bugis,to say,pau,0.7001,0.2999,0,3,0.667,1,0,0,1,ACTION
