seed,hard_frac,zdist_mean,algorithm,auc_own,auc_common,tss_common,boyce
2,0.6,2.534172047643682,randomforest,0.7664280168327159,0.6927602994769118,0.37853227198299083,0.44801143220597694
2,0.7,2.602545266619497,maxent,0.7651938957385698,0.6542571219102915,0.3171696216009665,0.5188798802583663
2,0.7,2.602545266619497,xgboost,0.788593069903345,0.6781106056575261,0.3297628771469675,0.5302141835879408
2,0.7,2.602545266619497,randomforest,0.7808900931341589,0.6822644410373936,0.3542904180343789,0.5361179970562668
2,0.8,2.6807444648561476,maxent,0.7857937614362839,0.6371073598484114,0.30645149835046886,0.5042975703908509
2,0.8,2.6807444648561476,xgboost,0.8050474754070261,0.6678171966588112,0.31564555726823434,0.5057950540822496
2,0.8,2.6807444648561476,randomforest,0.8134984065487949,0.6756314559083284,0.34111591858245155,0.5250404824608766
2,0.9,2.729260324468221,maxent,0.7823075477729442,0.617755217968521,0.2670110793191398,0.422958416322283
2,0.9,2.729260324468221,xgboost,0.8415273732087408,0.6621997667798812,0.30056042906581,0.40382115783491884
2,0.9,2.729260324468221,randomforest,0.8263505691017652,0.6599952509702351,0.3276800663465845,0.4983827934530141
2,1.0,2.839968483972124,maxent,0.811363312974249,0.5557620476799221,0.18037255845518735,0.06543868056950408
2,1.0,2.839968483972124,xgboost,0.8794456283986873,0.6320828811610085,0.295180481816656,0.3462136439891461
2,1.0,2.839968483972124,randomforest,0.8579463061359174,0.6462509944887345,0.3088484296573288,0.40868229979866105
3,0.0,2.074114719502635,maxent,0.7147773809088724,0.6681818208915906,0.3441947730060335,0.5756853336684181
3,0.0,2.074114719502635,xgboost,0.7368123997613825,0.7152608121725026,0.4347219199693611,0.2761365080328547
3,0.0,2.074114719502635,randomforest,0.724532595674426,0.7001939502535383,0.3817897151934108,0.5722649872334482
3,0.1,2.20061153582273,maxent,0.6930961763176391,0.6616637404828968,0.33417206562522506,0.6356054715660815
3,0.1,2.20061153582273,xgboost,0.7216774904364189,0.7031464359708455,0.39477557680767966,0.4451632098737724
3,0.1,2.20061153582273,randomforest,0.7151186004164861,0.7003358583934798,0.40626033962367974,0.580707161491433
3,0.2,2.243194140622685,maxent,0.6600064346021972,0.6301137963005533,0.30768321217282624,0.6096685424336542
3,0.2,2.243194140622685,xgboost,0.7239491583211789,0.6973751812412022,0.3755589224319707,0.5516783576351485
3,0.2,2.243194140622685,randomforest,0.7115755236952198,0.6924732841802154,0.38481352578133643,0.5577844802157476
3,0.3,2.283920126656053,maxent,0.7022070446470776,0.6551672375618073,0.33466060504550527,0.5309396412963432
3,0.3,2.283920126656053,xgboost,0.7334285348997922,0.6928299131509646,0.3582728552801723,0.6951142537336141
3,0.3,2.283920126656053,randomforest,0.7218188120779578,0.6925771723000056,0.4055148011072621,0.5497055376472016
3,0.4,2.3885089221181945,maxent,0.7062491354450507,0.6406115908678884,0.32439212373525306,0.573966009305084
3,0.4,2.3885089221181945,xgboost,0.7384924179881402,0.6865119909443551,0.3634041854410049,0.6145184007783313
3,0.4,2.3885089221181945,randomforest,0.7445475689440775,0.6901952896443021,0.3820299930289555,0.5829198716136477
3,0.5,2.4558966010932095,maxent,0.7328583398670719,0.644244409551918,0.31795627942264504,0.5822061432790524
3,0.5,2.4558966010932095,xgboost,0.7662266792928067,0.6895176844729106,0.3712208397106564,0.5865428221069935
3,0.5,2.4558966010932095,randomforest,0.7603174102596872,0.6891208454163398,0.3918139906498215,0.6246607078597359
3,0.6,2.5408253820826183,maxent,0.7489048934544598,0.6384771808690343,0.30892571439524136,0.6352711883599069
3,0.6,2.5408253820826183,xgboost,0.7918651158959472,0.6896865111433851,0.38444402222902785,0.5495309412001668
3,0.6,2.5408253820826183,randomforest,0.7759980941767147,0.6791223040849466,0.36780202533060735,0.5916493278970075
3,0.7,2.619269344199571,maxent,0.7577413868521188,0.6167011943644389,0.26702257938012874,0.5065641828731426
3,0.7,2.619269344199571,xgboost,0.8110668662283537,0.6718331682962552,0.33697571252723096,0.5499195824547274
3,0.7,2.619269344199571,randomforest,0.8131783309371208,0.6737716713496975,0.3371811221968275,0.5392182863376824
3,0.8,2.668949055947695,maxent,0.785486704474679,0.625091448350729,0.29110191487215265,0.4272983622912382
3,0.8,2.668949055947695,xgboost,0.80833892335696,0.6586560320582906,0.31561236655583946,0.4492432451069968
3,0.8,2.668949055947695,randomforest,0.8082356717690768,0.6569548131428378,0.3169557816107746,0.5132873869333899
3,0.9,2.7751428488856087,maxent,0.7931563824425923,0.6036473559336807,0.24813252973559524,0.4309055866615017
3,0.9,2.7751428488856087,xgboost,0.8459398581175425,0.641077616883268,0.27006507709684835,0.39250215974673586
3,0.9,2.7751428488856087,randomforest,0.8332397919188382,0.6403473797630234,0.2963869091427915,0.4261669576162225
3,1.0,2.7957958884195993,maxent,0.8106863501289743,0.5424205931036183,0.15772048806958633,-0.15305842312729798
3,1.0,2.7957958884195993,xgboost,0.8520613174041497,0.6019756933944045,0.2190556364416918,0.12999341360663658
3,1.0,2.7957958884195993,randomforest,0.8455112182763109,0.6235418552496969,0.26186651185027465,0.3791988410324115
4,0.0,2.1067704605093738,maxent,0.70416839034266,0.6860169388631675,0.3995028556177753,0.607113785186464
4,0.0,2.1067704605093738,xgboost,0.7434935452654392,0.7228701980238046,0.43533847692029537,0.37561444372402264
4,0.0,2.1067704605093738,randomforest,0.7318375342443117,0.72216278055609,0.4100434467811061,0.5611789319616206
4,0.1,2.1756657645337985,maxent,0.6981072933817384,0.675361634587945,0.36275592442686555,0.6896965922217524
4,0.1,2.1756657645337985,xgboost,0.7080812683292628,0.7008717542490358,0.4058710386546336,0.5168604573875385
4,0.1,2.1756657645337985,randomforest,0.7181462247651347,0.7157271201515917,0.3979478122758757,0.5217939971252717
4,0.2,2.2715495183975722,maxent,0.7041525543652,0.6720652107762521,0.3773744451758039,0.6332576218720278
4,0.2,2.2715495183975722,xgboost,0.7314014636916467,0.7000701646558924,0.38611175873005127,0.4669418371560793
4,0.2,2.2715495183975722,randomforest,0.7294769438363862,0.7015662069071448,0.3954283605783314,0.45978535834776657
4,0.3,2.2912944410493696,maxent,0.7179248452799456,0.6756885279362435,0.35592387354616833,0.6088734115050335
4,0.3,2.2912944410493696,xgboost,0.7355211639262016,0.7105556422671234,0.410437463201003,0.5803318054263487
4,0.3,2.2912944410493696,randomforest,0.7331070732245685,0.7083868624824696,0.4008293394793959,0.5134986641465374
4,0.4,2.374713789470395,maxent,0.7142430464955452,0.6645261900479338,0.349764758342924,0.6314454646124105
4,0.4,2.374713789470395,xgboost,0.7554579834054097,0.7070970000900582,0.3985836591750814,0.5214108586874608
4,0.4,2.374713789470395,randomforest,0.7532718401896641,0.7073475668365511,0.4066353144392381,0.5889602657773438
4,0.5,2.4907628220230356,maxent,0.7502459022074112,0.6699920499231312,0.33887741851898956,0.6936035973932992
4,0.5,2.4907628220230356,xgboost,0.770470902399222,0.6925237788365219,0.3661943410578392,0.6476231622997177
4,0.5,2.4907628220230356,randomforest,0.7611066604978738,0.6896486517048803,0.37455481092474374,0.5490138636480062
4,0.6,2.512125604176359,maxent,0.7322289207207501,0.6562191879423809,0.34182434191839606,0.639585994775236
4,0.6,2.512125604176359,xgboost,0.7596676209924913,0.6861467317858609,0.3409230452469564,0.6399453969286654
4,0.6,2.512125604176359,randomforest,0.7602636184058659,0.688192543704037,0.37747805124903233,0.5600912885186947
4,0.7,2.587862920785013,maxent,0.7597192452214546,0.6566721733903786,0.31195307224113666,0.5910655900681407
4,0.7,2.587862920785013,xgboost,0.7720155519281308,0.6690025283799266,0.31217196744014253,0.5443649845579154
4,0.7,2.587862920785013,randomforest,0.7884004091085772,0.6801436705293827,0.3644734379412651,0.5583491379807393
4,0.8,2.6538869891425483,maxent,0.7894909629852161,0.6469853486292901,0.32086825069576363,0.5387214784129651
4,0.8,2.6538869891425483,xgboost,0.8213374983774651,0.6737180705539346,0.33130443413752164,0.5123855691470824
4,0.8,2.6538869891425483,randomforest,0.8089064638761604,0.671806609786944,0.34708504641718785,0.5077909809550205
4,0.9,2.74153807175413,maxent,0.7973047524394916,0.6128535530691062,0.240770628946668,0.2906500466504912
4,0.9,2.74153807175413,xgboost,0.8453926232904786,0.6565769630117038,0.28617944724395467,0.44057888024729425
4,0.9,2.74153807175413,randomforest,0.8332943077064009,0.652188196105107,0.30154404218069253,0.46758972840120067
4,1.0,2.819781434729599,maxent,0.7971052420427391,0.5527719981911836,0.1828722237102605,-0.13120421947016508
4,1.0,2.819781434729599,xgboost,0.8652081177274653,0.6158250904008679,0.2402529761876891,0.17182588603533136
4,1.0,2.819781434729599,randomforest,0.8443309874587296,0.6344027206545174,0.28888125578315943,0.39313860645427245
5,0.0,2.0601345998777245,maxent,0.6663290320561149,0.6340136891548263,0.31031361245041456,0.5975529238063699
5,0.0,2.0601345998777245,xgboost,0.695242115317796,0.6832467510991992,0.3944732322108849,0.3758675455526344
5,0.0,2.0601345998777245,randomforest,0.6931454126462446,0.683834545118983,0.36604583948904446,0.42608359567568044
5,0.1,2.1799800702522933,maxent,0.6799703415176233,0.6447771500202328,0.31315337319237907,0.625776984415242
5,0.1,2.1799800702522933,xgboost,0.7173844103003586,0.6861692946941325,0.37810339776649055,0.37957025978106296
