filename,title,lang,date_ce,century,lat,lon,geocode_method,confidence,geocode_note,nearest_volcano,volcano_dist_km
DHARMA_INSIDENKKawali_4.xml,Kawali 4,osn-Latn,,,-7.19,108.36,known_location,high,"Ciamis, West Java",Galunggung,33.76
DHARMA_INSIDENKKawali_5.xml,Kawali 5,osn-Latn,,,-7.19,108.36,known_location,high,"Ciamis, West Java",Galunggung,33.76
DHARMA_INSIDENKKawali_6.xml,Kawali VI,osn-Latn,,,-7.19,108.36,known_location,high,"Ciamis, West Java",Galunggung,33.76
DHARMA_INSIDENKKayuAraHiwang.xml,Kayu Ara Hiwang (823 Śaka),kaw-Latn,901,10,-7.6,110.35,xml_provenance,medium,XML hint: found in Sugih Manek from Malang.,Merapi,11.96
DHARMA_INSIDENKKayumwungan.xml,Kayumwungan charter of the Veṇuvanavihāra (746 Śaka),kaw-Latn,824,9,-7.58,110.4,known_location,high,Kedu Plain (Karang Tengah),Merapi,6.26
DHARMA_INSIDENKKebantenan_1.xml,Kebantenan 1,osn-Latn,,,-6.38,107.0,known_location,high,"Bekasi, West Java",Tangkubanperahu,78.6
DHARMA_INSIDENKKebantenan_2.xml,Kebantenan 2,osn-Latn,,,-6.38,107.0,known_location,high,"Bekasi, West Java",Tangkubanperahu,78.6
DHARMA_INSIDENKKebantenan_3.xml,Kebantenan 3,osn-Latn,,,-6.38,107.0,known_location,high,"Bekasi, West Java",Tangkubanperahu,78.6
DHARMA_INSIDENKKebantenan_4.xml,Kebantenan 4,osn-Latn,,,-6.38,107.0,known_location,high,"Bekasi, West Java",Tangkubanperahu,78.6
DHARMA_INSIDENKKinewu.xml,Kinewu (829 Śaka – 907-11-20),,907,10,-7.93,112.31,known_location,medium,"Near Kelud, Blitar",Kelud,0.0
DHARMA_INSIDENKKubu-Kubu.xml,"Kubu-Kubu (827 Ś, 905-10-17)",kaw-Latn,,,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96
DHARMA_INSIDENKKurungan.xml,Kurungan (Randusari II),kaw-Latn,,,-7.9418671,112.6317556,candi_match,medium,Matched candi: sari,Arjuno,24.0
DHARMA_INSIDENKKusambyan.xml,Kusambyan charter (945 Śaka),kaw-Latn,1023,11,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKLaguna.xml,Laguna Copper plate (820 Śaka),omy-Latn,898,9,14.36,121.1,known_location,high,"Laguna, Philippines",Batur,2591.27
DHARMA_INSIDENKLinggasuntan.xml,Linggasuntan (851 Śaka),kaw-Latn,929,10,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKLinggawangi.xml,Linggawangi,osn-Latn,,,-7.19,108.36,known_location,medium,"Ciamis area, West Java",Galunggung,33.76
