filename,title,year_ce,n_organic,n_lithic,n_metal,materials,classes
DHARMA_INSIDENKDinoyoIIa.xml,Two connected charters on a stone from Dinoyo (772 and 786 Śaka),864,1,1,1,atap|candi|emas|sima,institution|organic|metal|lithic
DHARMA_INSIDENKDisunuh.xml,Disunuh (709 Śaka),787,1,0,0,daun|sima,institution|organic
DHARMA_INSIDENKE62.xml,E62,,0,0,1,emas|sima,institution|metal
DHARMA_INSIDENKGajahMada.xml,Gajah Mada's foundation of a caitya (1351-04-27),1351,1,0,1,daun|emas,organic|metal
DHARMA_INSIDENKGandasuli.xml,Gandasuli (early 8th century CE),,1,1,0,kayu|prasada,organic|lithic
DHARMA_INSIDENKGandhakuti.xml,Gandhakuti,,2,0,1,atap|ijuk|emas|sima,institution|organic|metal
DHARMA_INSIDENKGaraman.xml,Garaman,,6,0,1,kayu|bambu|rumah_kayu|atap|ijuk|daun|jati|emas|bangun|pahat|sima,metal|building|activity|institution|organic
DHARMA_INSIDENKGarung.xml,Garung,,2,0,0,atap|daun,organic
DHARMA_INSIDENKGenengII.xml,Geneng II,,0,0,0,,
DHARMA_INSIDENKGondangLor.xml,Akṣobhya Statue from Gondang Lor (11th or 12th c. CE),1150,1,0,1,daun|perak,organic|metal
DHARMA_INSIDENKGulungGulung.xml,Gulung-Gulung (851 Śaka),929,4,2,1,kayu|atap|ijuk|daun|bata|prasada|emas|sima,institution|organic|metal|lithic
DHARMA_INSIDENKGuntur.xml,Guntur,,2,0,1,kayu|daun|emas,organic|metal
DHARMA_INSIDENKHampran.xml,Gift of Hampran village (674 Śaka),752,2,0,0,rotan|daun,organic
DHARMA_INSIDENKHarinjing.xml,The Harinjing Charter,,3,0,1,kayu|atap|daun|emas|sima,institution|organic|metal
DHARMA_INSIDENKHering.xml,Charter of Hering (870 Śaka),948,3,0,1,kayu|bambu|daun|emas|sima,institution|organic|metal
DHARMA_INSIDENKHimadvalandit.xml,Himad Walandit,,1,1,0,daun|batu|pahat,organic|activity|lithic
DHARMA_INSIDENKHorren.xml,"Charter of Horren, ca. 975 Śaka",1053,3,0,0,bambu|atap|daun|pahat|sima,institution|organic|activity
DHARMA_INSIDENKHujungGaluh-Sangsang.xml,Hujung Galuh / Sangsang (907-05-04),907,2,0,1,atap|daun|emas|sima,institution|organic|metal
DHARMA_INSIDENKHuludayeuh.xml,Huludayeuh,,3,2,1,kayu|daun|jati|batu|bata|emas,organic|metal|lithic
DHARMA_INSIDENKHumanding.xml,The Polengan plates: Humanding charter (797 Śaka),875,4,1,1,kayu|bambu|atap|daun|prasada|emas|sima,institution|organic|metal|lithic
DHARMA_INSIDENKHuwung.xml,Demarcation of Huwung (822/823 CE),823,0,0,0,,
DHARMA_INSIDENKJamwi.xml,Jamwi (Sinaguha),,0,0,2,emas|perak,metal
DHARMA_INSIDENKJeruJeru.xml,Jeru-Jeru (852 Śaka),930,4,1,1,kayu|rumah_kayu|atap|ijuk|daun|bata|emas|sima,metal|building|lithic|institution|organic
DHARMA_INSIDENKJragung.xml,Jragung,,0,0,0,,
DHARMA_INSIDENKJurungan.xml,The Polengan plates: Jurungan charter (798 Śaka),876,2,2,2,bambu|daun|batu|prasada|emas|perak|sima,institution|organic|metal|lithic
DHARMA_INSIDENKKabhagavanan.xml,Kabhagavanan,,0,0,2,emas|besi,metal
DHARMA_INSIDENKKakalangan.xml,Kakalangan,,1,1,0,atap|bata,organic|lithic
DHARMA_INSIDENKKaladi.xml,Kaladi charter,,3,0,0,kayu|rumah_kayu|atap|rotan|sima,institution|organic|building
DHARMA_INSIDENKKalasan.xml,Kalasan,,1,1,1,daun|candi|emas|pahat,organic|metal|activity|lithic
DHARMA_INSIDENKKandangan.xml,The Charter of Kandangan,,1,1,1,daun|prasada|perak|sima,institution|organic|metal|lithic
DHARMA_INSIDENKKanjuruhan.xml,The Kanjuruhan Charter (682 Śaka),760,3,0,0,kayu|daun|jati,organic
DHARMA_INSIDENKKarangloMojokerto.xml,Karang Lo (1019 Śaka),1097,1,0,0,daun,organic
DHARMA_INSIDENKKasugihan.xml,"Kasugihan (829 Śaka, 907-11-18)",907,2,0,2,atap|daun|emas|perak,organic|metal
DHARMA_INSIDENKKawali_1a.xml,Kawali I (a),,1,0,0,daun,organic
DHARMA_INSIDENKKawali_1b.xml,Kawali I (b),,1,0,0,daun,organic
DHARMA_INSIDENKKawali_2.xml,Kawali 2,,0,0,0,,
DHARMA_INSIDENKKawali_3.xml,Kawali 3,,0,0,0,,
DHARMA_INSIDENKKawali_4.xml,Kawali 4,,0,0,0,,
DHARMA_INSIDENKKawali_5.xml,Kawali 5,,0,0,0,,
DHARMA_INSIDENKKawali_6.xml,Kawali VI,,0,0,0,,
DHARMA_INSIDENKKayuAraHiwang.xml,Kayu Ara Hiwang (823 Śaka),901,2,1,2,kayu|atap|prasada|emas|perak|sima,institution|organic|metal|lithic
DHARMA_INSIDENKKayumwungan.xml,Kayumwungan charter of the Veṇuvanavihāra (746 Śaka),824,4,0,1,kayu|bambu|daun|jati|emas,organic|metal
DHARMA_INSIDENKKebantenan_1.xml,Kebantenan 1,,3,1,1,atap|ijuk|daun|batu|emas,organic|metal|lithic
DHARMA_INSIDENKKebantenan_2.xml,Kebantenan 2,,1,1,0,daun|batu,organic|lithic
DHARMA_INSIDENKKebantenan_3.xml,Kebantenan 3,,1,0,0,daun,organic
DHARMA_INSIDENKKebantenan_4.xml,Kebantenan 4,,1,0,1,daun|emas,organic|metal
DHARMA_INSIDENKKedungwangi.xml,The Stela of Kedungwangi (Lawan),,1,0,1,kayu|emas|sima,institution|organic|metal
DHARMA_INSIDENKKetanen.xml,"Ketanen (826 Ś, 904/905)",904,1,0,1,daun|emas,organic|metal
DHARMA_INSIDENKKinewu.xml,Kinewu (829 Śaka – 907-11-20),907,0,0,1,emas,metal
DHARMA_INSIDENKKiringan.xml,Kiringan (917-11-14),917,4,0,2,kayu|atap|ijuk|daun|emas|perak|sima,institution|organic|metal
DHARMA_INSIDENKKubu-Kubu.xml,"Kubu-Kubu (827 Ś, 905-10-17)",905,3,0,1,atap|ijuk|daun|emas,organic|metal
DHARMA_INSIDENKKurungan.xml,Kurungan (Randusari II),,4,0,2,kayu|rumah_kayu|atap|ijuk|daun|emas|perak|sima,institution|organic|metal|building
DHARMA_INSIDENKKusambyan.xml,Kusambyan charter (945 Śaka),1023,1,0,0,daun,organic
DHARMA_INSIDENKLaguna.xml,Laguna Copper plate (820 Śaka),898,1,0,1,daun|emas,organic|metal
DHARMA_INSIDENKLanda.xml,Resources of the temple at Landa (late 9th c. CE),850,1,1,1,bambu|prasada|emas|sima,institution|organic|metal|lithic
DHARMA_INSIDENKLinggasuntan.xml,Linggasuntan (851 Śaka),929,3,0,1,kayu|ijuk|daun|emas|sima,institution|organic|metal
DHARMA_INSIDENKLinggawangi.xml,Linggawangi,,1,0,0,daun,organic
DHARMA_INSIDENKLintakan.xml,"Lintakan (841 Śaka, 919-07-12)",919,4,1,2,kayu|rumah_kayu|atap|ijuk|daun|candi|emas|perak|sima,metal|building|lithic|institution|organic
DHARMA_INSIDENKLuitan.xml,Charter of Luitan I,,2,0,1,kayu|daun|emas,organic|metal
DHARMA_INSIDENKLurah.xml,Lurah (E. 14),,1,0,0,kayu,organic
