filename,year_ce,text_length,plants,variants_matched,n_plants,ritual_keywords,has_ritual_context
DHARMA_INSIDENKSugihManek.xml,915,51056,padi|sirih|tebu|kapas|waringin|lada|kapur_barus|pala,"pari,śali|sirih|gula|kapas|vata|lada|kapur|pala",8,sīma|piṇḍa|maṅhuri|nakṣatra|tithi|pūjā|hyang|hyaṁ,True
DHARMA_INSIDENKSukhamerta.xml,,9943,padma|padi|waringin|lada,kamala|pari|vata|lada,4,sīma|nakṣatra|maṅhuri|svargga,True
DHARMA_INSIDENKSumundul.xml,869,3051,padi|waringin,pari|vata,2,tithi|hyaṁ,True
DHARMA_INSIDENKTaji.xml,901,10802,padi|waringin,pari|vata,2,sīma|piṇḍa|hyaṁ|nakṣatra,True
DHARMA_INSIDENKTajiGunung.xml,910,34586,padi|waringin|pala,pari|vata|pala,3,sīma|atīta|tithi|hyang|hyaṁ,True
DHARMA_INSIDENKTalan.xml,1136,30156,padma|padi|sirih|pala,kamala|pari|pān|pala,4,sīma|nakṣatra|tithi|hyang|hyaṁ,True
DHARMA_INSIDENKTaragal.xml,880,4602,padi|waringin,pari|vata,2,sīma|piṇḍa|hyaṁ,True
DHARMA_INSIDENKTelahap.xml,,1373,padi,pari,1,tithi,True
DHARMA_INSIDENKTelangI-WanagiriI.xml,,7093,padi|tebu|kapas|waringin|pala,pari|gula|kapas|vata|pala,5,sīma|piṇḍa|hyaṁ|nakṣatra,True
DHARMA_INSIDENKTelangII-WanagiriII.xml,904,3338,padi|waringin|jati,pari|vata|jati,3,sīma|tithi|atīta,True
DHARMA_INSIDENKTerep_I.xml,,3432,sirih|waringin|pala,pān|vata|pala,3,piṇḍa|tithi|nakṣatra|pūjā,True
DHARMA_INSIDENKTerep_II.xml,,4300,padi|sirih|waringin|pala,pari|pān|vata|pala,4,hyaṁ|sapatha,True
DHARMA_INSIDENKTigaRon-TluRon.xml,900,6579,padi,pari,1,hyaṁ,True
DHARMA_INSIDENKTihang.xml,914,18345,padma|padi|waringin|pala,kamala|pari|vata|pala,4,sīma|nakṣatra|tithi|hyang|hyaṁ,True
DHARMA_INSIDENKTija-HaruHaru.xml,1050,9807,sirih,suruh,1,sīma,True
DHARMA_INSIDENKTimbananWungkal.xml,913,10156,padi|waringin,pari|vata,2,sīma|maṅhuri|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKTirah.xml,,3728,padi|waringin,pari|vata,2,tithi,True
DHARMA_INSIDENKTuhanyaru.xml,,15816,padma|padi|tebu|kapas|waringin|cendana|jati|lada|kapur_barus|pala,"kumuda|pari|ikṣu,gula|kapas|vata|candana|śāka|lada|kapur|pala",10,sīma|maṅhuri|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKTukMas.xml,650,2786,padi,pari,1,,False
DHARMA_INSIDENKTulangan.xml,910,5098,padi|tebu|pala,pari|gula|pala,3,tithi|atīta,True
DHARMA_INSIDENKTulangEr.xml,914,18041,padma|padi|bambu,"padma,kamala|pari|bulu",3,sīma|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKTuruMangambil.xml,908,1050,padi,pari,1,,False
