filename,title,lang,date_ce,century,edition_word_count,has_translation,n_sanskrit,n_indigenous,n_unknown,n_geo_terms,n_volcanic_terms,n_admin_terms
DHARMA_INSIDENKPabanyolan.xml,The Comedy (,kaw-Latn,,,174,True,0,11,163,2,0,0
DHARMA_INSIDENKPadingding.xml,"Stray plate of a foundation bordering on Paḍiṅḍiṅ, Paṅeran and Pajənvan (14th c. CE)",kaw-Latn,,,231,True,0,19,212,2,0,1
DHARMA_INSIDENKPaguhan.xml,Paguhan,kaw-Latn,,,76,True,1,1,74,1,1,0
DHARMA_INSIDENKPakisWetan.xml,The Pakis Wetan Charter of Kertanagara (1188 Śaka),kaw-Latn,1266,13,131,True,22,6,103,1,1,6
DHARMA_INSIDENKPalebuhan.xml,Palebuhan,kaw-Latn,,,269,True,12,19,238,0,1,5
DHARMA_INSIDENKPalepangan.xml,Palepangan charter (828 Śaka),kaw-Latn,906,10,323,True,6,40,277,0,0,6
DHARMA_INSIDENKPamintihan.xml,The Pamintihan charter,kaw-Latn,,,685,True,40,26,619,3,2,9
DHARMA_INSIDENKPananggaran.xml,Pananggaran (791 Śaka),kaw-Latn,869,9,80,True,5,8,67,1,0,1
DHARMA_INSIDENKPanggumulanA.xml,The Charter of Panggumulan,,,,1844,False,25,165,1654,5,1,9
DHARMA_INSIDENKPanunggalan.xml,"Panunggalan charter (818 Śaka, 896-08-15 CE)",kaw-Latn,896,9,204,True,4,31,169,1,0,3
DHARMA_INSIDENKParablyan.xml,Parablyan (between 1177 and 1208 Śaka),kaw-Latn,1286,13,259,True,23,17,219,1,0,8
DHARMA_INSIDENKParhyangan.xml,Parhyangan,kaw-Latn,,,91,True,1,3,87,0,0,3
DHARMA_INSIDENKParung_I.xml,Parung I,kaw-Latn,,,145,True,8,12,125,0,0,6
DHARMA_INSIDENKParung_II.xml,Parung II,kaw-Latn,,,126,True,8,8,110,0,0,5
DHARMA_INSIDENKPasanggrahan.xml,Pasanggrahan (ca. 900-910),kaw-Latn,,,299,False,0,23,276,2,1,3
DHARMA_INSIDENKPatapan.xml,Patapan I,kaw-Latn,,,74,True,3,4,67,0,0,0
DHARMA_INSIDENKPatapan_II.xml,Patapan II,kaw-Latn,,,135,True,4,7,124,0,0,2
DHARMA_INSIDENKPatitihan.xml,Patitihan,kaw-Latn,,,784,True,31,31,722,6,1,7
DHARMA_INSIDENKPenampihan.xml,Penampihan,,,,173,False,6,3,164,3,0,2
DHARMA_INSIDENKPesindon.xml,Pesindon I and II (914-08-14),kaw-Latn,,,64,True,7,2,55,1,0,0
DHARMA_INSIDENKPlalangan.xml,Stone from Plalangan (9th-10th c. CE),san-Latn,,,32,True,1,0,31,0,0,0
DHARMA_INSIDENKPlered.xml,Charter of the early tenth century (date lost),kaw-Latn,,,411,False,2,34,375,2,0,3
DHARMA_INSIDENKPoh.xml,Charter of Poh (Randusari I),kaw-Latn,,,1703,False,28,221,1454,5,1,7
DHARMA_INSIDENKPucangan.xml,Charter of Pucangan (1041-11-6),kaw-Latn,,,1797,True,148,53,1596,10,2,16
DHARMA_INSIDENKPuhawangGlis.xml,Puhawang Glis (749 Śaka),omy-Latn,827,9,76,True,6,4,66,0,0,0
DHARMA_INSIDENKRabvan.xml,"Rabvan (827 Śaka, 906-02-03)",,905,10,26,False,3,1,22,0,0,1
DHARMA_INSIDENKRaKidanI.xml,Ra Kidan I (750-800 Śaka),kaw-Latn,878,9,108,True,6,13,89,1,0,1
DHARMA_INSIDENKRameswarapura.xml,Rameswarapura charter (1197 Śaka),kaw-Latn,1275,13,1693,True,43,143,1507,11,1,14
DHARMA_INSIDENKRampal.xml,Rampal (ca. 875 CE),kaw-Latn,875,9,332,True,7,59,266,2,1,3
DHARMA_INSIDENKRembang.xml,Rembang,kaw-Latn,,,51,True,7,0,44,0,0,2
DHARMA_INSIDENKRongkab.xml,Charter of Rongkab,kaw-Latn,,,306,True,6,26,274,1,1,2
DHARMA_INSIDENKRukam.xml,Charter of Rukam (829 Śaka),kaw-Latn,907,10,1418,False,36,179,1203,9,1,9
