name,lat,lon,suitability,burial_depth_cm,zone
osm_448474624,-7.265091,112.7514254,0.8227716,6.781608480020531,A
Taman Candi Jago,-8.005805,112.7640344,0.8485552,73.29612583220205,A
Kompleks Candi Sumberawan,-7.8553516,112.6448151,0.70873326,73.49128533818804,A
Monumen Pahlawan,-7.3842345,112.7284029,0.91608465,11.972434353587788,A
osm_563730675,-7.8751671,112.8070746,0.79297924,60.86750262828579,A
osm_629408048,-7.8338111,112.564841,0.88001347,94.68398746681562,A
osm_629408061,-7.8335843,112.5631048,0.8630786,95.29739794657455,A
Tugu Adipura,-7.9764602,112.6276778,0.9227947,83.8390586827118,A
Candi Pari,-7.5161315,112.6834255,0.9161516,23.156647941676987,A
Situs Watu Gong,-7.9388986,112.5975542,0.9283841,92.84595259415865,A
osm_646335021,-7.5446032,112.6994321,0.8874571,24.813967986233358,A
Candi Cetho,-7.5957362,111.1581311,0.8960333,0.9375496522483521,A
R. A. Kartini Monument,-8.063832,111.9006575,0.7000819,40.05110693833896,A
Arek Lancor,-7.1605749,113.4826465,0.7976345,0.4782486890949554,A
Candi Menak Jinggo,-7.5583872,112.3865115,0.7484394,51.049128661755695,A
osm_781575304,-7.5440231,112.7054267,0.8475661,24.364325014492337,A
osm_781575305,-7.542813,112.7048245,0.72963345,24.2900825953087,A
osm_781575361,-7.5458412,112.7065992,0.9553861,24.45843904438632,A
osm_818950515,-7.8322261,112.5638675,0.86364347,94.7562348775576,A
Kanal Majapahit,-7.5697504,112.3981881,0.8469124,53.35849897097118,A
Kanal Majapahit,-7.5704829,112.4015133,0.75978667,53.34818184384771,A
Makam Panjang,-7.5557022,112.3856116,0.79416317,50.414098946940655,A
Makam Putri Campa,-7.5559681,112.3843442,0.80293316,50.540039904256034,A
Kanal Majapahit,-7.5679071,112.3919217,0.6583924,53.233971609876775,A
Balong Bunder,-7.5616797,112.3821834,0.7760725,52.10209270926297,A
Kanal Majapahit,-7.5221912,112.3972606,0.8303364,42.21776590396061,A
Kolam Ngelinguk,-7.5642472,112.3770594,0.8658267,53.01233971850302,A
osm_840244045,-7.5617253,112.3776899,0.8855507,52.32000373775492,A
Balong Dowo,-7.5609934,112.381282,0.9084434,51.96611331097216,A
Situs Kumitir,-7.5707338,112.4117737,0.7070316,52.74558498636779,A
osm_840616538,-7.5727595,112.4189578,0.8325329,52.761561955430054,A
osm_840616546,-7.5678305,112.3950181,0.83935326,53.039264992401336,A
Makam Mbah Mendek,-7.5715271,112.5885726,0.71546155,37.05759061176062,A
Situs Genting,-7.5714269,112.5898064,0.41431904,36.92425791732112,E
Candi Bangkal,-7.543221,112.6355351,0.81193346,29.242919853841748,A
Situs Tarik Raden Wijaya Majapahit,-7.4527626,112.4827118,0.7648933,27.025983119213674,A
Candi Petirtaan Belahan,-7.6075228,112.6513504,0.47024065,35.92726069554693,A
Situs Candi Terung,-7.3947721,112.6203456,0.881664,16.117878547319787,A
Candi Kesiman,-7.6504231,112.5299286,0.8422584,59.72512703317099,A
Situs Gapura Majapahit,-7.4274762,112.3593053,0.7798778,27.042182179298816,A
Candi Patakan,-7.2836656,112.2565327,0.43280333,13.14598631633803,E
Watu Ombo Petilasan Tribuawana Tungga Dewi,-7.5153984,112.3962008,0.69819474,40.86350968935868,A
Reco Hayam Wuruk,-7.5125528,112.3883578,0.6948117,40.57664850193992,A
Prasasti Cunggrang,-7.5798158,112.6849627,0.769001,29.509672271100886,A
osm_845830591,-7.54446,112.4487524,0.7888071,44.208246461323455,A
osm_845830592,-7.5437964,112.4474942,0.5137956,44.15412449044024,A
Situs Petirtaan Brumbung,-7.799256,112.2885931,0.42568567,182.30590882301343,E
Candi Surowono,-7.7464638,112.2180204,0.72314465,124.92491603808979,B
Candi Tegowangi,-7.7347204,112.1611752,0.8400779,101.66514024437187,B
Situs Petirtaan Sumberbeji,-7.6658053,112.2562369,0.7017175,89.25643508634546,A
Situs Gua Selomangleng,-7.8072612,111.9729852,0.4988805,57.50473980232449,A
Situs Arca Totok Kerot,-7.7979459,112.0701523,0.79392016,88.49411478931731,A
Situs Candi Tondowongso,-7.7905516,112.1422892,0.86817545,117.60317675633921,B
Candi Mirigambar,-8.1341345,111.9759543,0.77417266,48.64348507870733,A
Candi Penataran,-8.0163487,112.2092507,0.8238435,183.80431722071683,B
Situs Candi Gempur Adan-Adan,-7.769902,112.1171099,0.8380469,99.37513032584103,A
Punden Selomanen,-7.9038744,112.0037485,0.7263154,74.85656313020002,A
Situs Watu Umpak Grobogon,-7.6011296,112.3480411,0.866402,65.1553685571713,A
Situs Kedaton Jombang,-7.6346011,112.2532318,0.67038476,75.9970970928108,A
Candi Ngetos,-7.6935104,111.8424528,0.6248057,24.97298995625622,A
Situs Dam Pipo,-7.78122,112.2578354,0.7510154,159.98640427986314,B
Gua Jegles,-7.7875425,112.2581013,0.71487355,165.16115378971395,B
Situs Watu Gilang Pujon,-7.8289325,112.4220203,0.7816944,166.73377896471032,B
Situs Candi Ganter,-7.8271272,112.3939101,0.89819974,182.55534455904368,B
Situs Sendang Made,-7.4030121,112.3122484,0.73589426,24.162052814621315,A
Situs Makam Gunung Ratu,-7.2640867,112.2370884,0.6407134,11.827990100051741,A
Prasasti Gurit,-7.403138,112.2881247,0.8675227,24.1060153363739,A
Prasasti Sumbersari,-7.2892372,112.235266,0.4195571,13.366871012002802,E
Monument PSHT,-7.6036542,111.070096,0.76700366,0.6383604788453444,A
osm_876473509,-7.2725325,112.8065783,0.83587223,6.108453774390524,A
Globe,-7.2663881,112.7953036,0.9264922,6.128326103068943,A
Monumen KKN UGM,-7.590987,111.0570297,0.9190894,0.5927696526107122,A
Stasiun Kabat,-8.2761292,114.3159876,0.73947364,0.03794557880230183,A
Candi Situsumpak,-7.5406294,112.4025429,0.8507572,45.99350631131765,A
