lat,lon,sed_rate_mm_yr,depth_400ce_m,depth_200bce_m,depth_1000bce_m
-8.349999999999998,111.94999999999989,0.57,0.9,1.3,1.7
-8.349999999999998,111.99999999999989,0.59,1.0,1.3,1.8
-8.349999999999998,112.04999999999988,0.61,1.0,1.4,1.8
-8.349999999999998,112.09999999999988,0.64,1.0,1.4,1.9
-8.349999999999998,112.14999999999988,0.66,1.1,1.5,2.0
-8.349999999999998,112.19999999999987,0.69,1.1,1.5,2.1
-8.349999999999998,112.24999999999987,0.71,1.2,1.6,2.1
-8.349999999999998,112.29999999999987,0.73,1.2,1.6,2.2
-8.349999999999998,112.34999999999987,0.75,1.2,1.7,2.3
-8.349999999999998,112.39999999999986,0.77,1.2,1.7,2.3
-8.349999999999998,112.44999999999986,0.79,1.3,1.8,2.4
-8.349999999999998,112.49999999999986,0.81,1.3,1.8,2.5
-8.349999999999998,112.54999999999986,0.85,1.4,1.9,2.6
-8.349999999999998,112.59999999999985,0.9,1.5,2.0,2.7
-8.349999999999998,112.64999999999985,0.97,1.6,2.1,2.9
-8.349999999999998,112.69999999999985,1.05,1.7,2.3,3.2
-8.349999999999998,112.74999999999984,1.14,1.9,2.5,3.5
-8.349999999999998,112.79999999999984,1.24,2.0,2.8,3.8
-8.349999999999998,112.84999999999984,1.32,2.2,2.9,4.0
-8.349999999999998,112.89999999999984,1.37,2.2,3.0,4.1
-8.349999999999998,112.94999999999983,1.35,2.2,3.0,4.1
-8.349999999999998,112.99999999999983,1.29,2.1,2.9,3.9
-8.349999999999998,113.04999999999983,1.19,1.9,2.6,3.6
-8.349999999999998,113.09999999999982,1.08,1.7,2.4,3.3
-8.349999999999998,113.14999999999982,0.96,1.6,2.1,2.9
-8.349999999999998,113.19999999999982,0.86,1.4,1.9,2.6
-8.349999999999998,113.24999999999982,0.78,1.3,1.7,2.4
-8.349999999999998,113.29999999999981,0.71,1.2,1.6,2.2
-8.349999999999998,113.34999999999981,0.66,1.1,1.5,2.0
-8.349999999999998,113.3999999999998,0.63,1.0,1.4,1.9
-8.349999999999998,113.4499999999998,0.6,1.0,1.3,1.8
-8.349999999999998,113.4999999999998,0.59,1.0,1.3,1.8
-8.349999999999998,113.5499999999998,0.59,1.0,1.3,1.8
-8.349999999999998,113.5999999999998,0.59,1.0,1.3,1.8
-8.349999999999998,113.64999999999979,0.61,1.0,1.4,1.8
-8.349999999999998,113.69999999999979,0.63,1.0,1.4,1.9
-8.349999999999998,113.74999999999979,0.67,1.1,1.5,2.0
-8.349999999999998,113.79999999999978,0.72,1.2,1.6,2.2
-8.349999999999998,113.84999999999978,0.78,1.3,1.7,2.4
-8.349999999999998,113.89999999999978,0.85,1.4,1.9,2.6
-8.349999999999998,113.94999999999978,0.92,1.5,2.0,2.8
-8.349999999999998,113.99999999999977,0.98,1.6,2.2,3.0
-8.349999999999998,114.04999999999977,1.02,1.7,2.3,3.1
-8.349999999999998,114.09999999999977,1.03,1.7,2.3,3.1
-8.349999999999998,114.14999999999976,1.02,1.7,2.3,3.1
-8.349999999999998,114.19999999999976,0.98,1.6,2.2,3.0
-8.349999999999998,114.24999999999976,0.93,1.5,2.1,2.8
-8.349999999999998,114.29999999999976,0.88,1.4,2.0,2.7
-8.349999999999998,114.34999999999975,0.82,1.3,1.8,2.5
-8.349999999999998,114.39999999999975,0.76,1.2,1.7,2.3
-8.349999999999998,114.44999999999975,0.7,1.1,1.6,2.1
-8.299999999999997,110.0,0.51,0.8,1.1,1.5
-8.299999999999997,110.05,0.51,0.8,1.1,1.5
-8.299999999999997,110.1,0.51,0.8,1.1,1.6
-8.299999999999997,110.14999999999999,0.51,0.8,1.1,1.6
-8.299999999999997,110.19999999999999,0.52,0.8,1.1,1.6
-8.299999999999997,110.24999999999999,0.52,0.8,1.2,1.6
-8.299999999999997,110.29999999999998,0.52,0.8,1.2,1.6
-8.299999999999997,110.34999999999998,0.52,0.8,1.2,1.6
-8.299999999999997,110.39999999999998,0.52,0.8,1.2,1.6
-8.299999999999997,110.44999999999997,0.52,0.8,1.2,1.6
-8.299999999999997,110.49999999999997,0.52,0.8,1.2,1.6
-8.299999999999997,110.54999999999997,0.52,0.8,1.2,1.6
-8.299999999999997,110.59999999999997,0.52,0.8,1.2,1.6
-8.299999999999997,110.64999999999996,0.52,0.8,1.2,1.6
-8.299999999999997,110.69999999999996,0.52,0.8,1.2,1.6
-8.299999999999997,110.74999999999996,0.52,0.8,1.2,1.6
-8.299999999999997,110.79999999999995,0.52,0.8,1.2,1.6
-8.299999999999997,110.84999999999995,0.52,0.8,1.2,1.6
-8.299999999999997,110.89999999999995,0.52,0.8,1.2,1.6
-8.299999999999997,110.94999999999995,0.52,0.8,1.2,1.6
-8.299999999999997,110.99999999999994,0.52,0.8,1.2,1.6
-8.299999999999997,111.04999999999994,0.52,0.8,1.2,1.6
-8.299999999999997,111.09999999999994,0.52,0.8,1.2,1.6
-8.299999999999997,111.14999999999993,0.52,0.8,1.2,1.6
-8.299999999999997,111.19999999999993,0.52,0.8,1.2,1.6
-8.299999999999997,111.24999999999993,0.52,0.8,1.2,1.6
-8.299999999999997,111.29999999999993,0.52,0.8,1.2,1.6
-8.299999999999997,111.34999999999992,0.52,0.8,1.2,1.6
-8.299999999999997,111.39999999999992,0.52,0.8,1.2,1.6
-8.299999999999997,111.44999999999992,0.52,0.8,1.2,1.6
-8.299999999999997,111.49999999999991,0.52,0.8,1.1,1.6
