algorithm,design,seed_i,seed_j,jaccard,footprint_single_run_share,replaced_share
xgboost,hybrid,1,8,0.5272014843070855,0.47279851569291453,0.30958489796611904
xgboost,hybrid,1,9,0.5043261550258803,0.4956738449741197,0.3294989210405586
xgboost,hybrid,2,3,0.5354091389363561,0.4645908610636439,0.3025844052129883
xgboost,hybrid,2,4,0.5174165270078639,0.4825834729921361,0.31802966713676445
xgboost,hybrid,2,5,0.5338285118582226,0.46617148814177745,0.30392673270691384
xgboost,hybrid,2,6,0.5308760794922485,0.46912392050775154,0.30644147282211615
xgboost,hybrid,2,7,0.49522998945643476,0.5047700105435653,0.33758686897864176
xgboost,hybrid,2,8,0.4949261465384762,0.5050738534615238,0.33785873277487977
xgboost,hybrid,2,9,0.502578635620915,0.497421364379085,0.3310451463816628
xgboost,hybrid,3,4,0.5426938754112112,0.45730612458878883,0.2964334868231016
xgboost,hybrid,3,5,0.5714247570223219,0.42857524297767813,0.27273036208859364
xgboost,hybrid,3,6,0.5245113911590618,0.47548860884093824,0.3118957402341427
xgboost,hybrid,3,7,0.5267260723504157,0.4732739276495843,0.3099926936604761
xgboost,hybrid,3,8,0.5206904125163108,0.47930958748368924,0.31519208876352944
xgboost,hybrid,3,9,0.5160679555378096,0.4839320444621904,0.3192020797580412
xgboost,hybrid,4,5,0.5305973836831291,0.46940261631687086,0.3066793536438245
xgboost,hybrid,4,6,0.5000892106135141,0.4999107893864859,0.33325403972609724
xgboost,hybrid,4,7,0.49671299416349834,0.5032870058365017,0.3362615329719811
xgboost,hybrid,4,8,0.4983133695693682,0.5016866304306318,0.3348342480417311
xgboost,hybrid,4,9,0.4764371636792394,0.5235628363207606,0.35461233921805174
xgboost,hybrid,5,6,0.5479891633130803,0.45201083668691966,0.29199870864696786
xgboost,hybrid,5,7,0.5468092935239697,0.4531907064760303,0.292984214908331
xgboost,hybrid,5,8,0.5259343764989564,0.47406562350104364,0.31067235315107133
xgboost,hybrid,5,9,0.5351087693672074,0.4648912306327926,0.30283927752196155
xgboost,hybrid,6,7,0.5035575142108961,0.4964424857891039,0.33017858053115384
xgboost,hybrid,6,8,0.5285302443965405,0.4714697556034595,0.308446468319372
xgboost,hybrid,6,9,0.5252027885039002,0.47479721149609977,0.3113010381798719
xgboost,hybrid,7,8,0.5000892106135141,0.4999107893864859,0.33325403972609724
xgboost,hybrid,7,9,0.5214963418732711,0.4785036581267289,0.3144954377856694
xgboost,hybrid,8,9,0.5258552520708832,0.47414474792911676,0.3107403191001308
randomforest,random,0,1,0.7590375849958904,0.24096241500410964,0.1369853703294649
randomforest,random,0,2,0.7203197848613729,0.27968021513862706,0.1625745501503747
randomforest,random,0,3,0.8343125185058206,0.16568748149417944,0.09032674630010365
randomforest,random,0,4,0.7261475289631911,0.2738524710368089,0.1586495165921873
randomforest,random,0,5,0.7729210284526518,0.22707897154734824,0.12808183100266762
randomforest,random,0,6,0.7700948914988646,0.22990510850113544,0.129882928652745
randomforest,random,0,7,0.7774724030141495,0.22252759698585045,0.12519327816763803
randomforest,random,0,8,0.7598791920218889,0.24012080797811108,0.1364416427369888
randomforest,random,0,9,0.7087567504790663,0.2912432495209337,0.17044160875401423
randomforest,random,1,2,0.6779426648990007,0.3220573351009993,0.19193584014408785
randomforest,random,1,3,0.7391291499830085,0.2608708500169915,0.15000084957436327
randomforest,random,1,4,0.6948552174977322,0.30514478250226784,0.1800417990586716
randomforest,random,1,5,0.6972502198958919,0.30274978010410813,0.17837663330671336
randomforest,random,1,6,0.7379992617201919,0.2620007382798081,0.15074847501401797
randomforest,random,1,7,0.6983767404949138,0.30162325950508617,0.1775950248925288
randomforest,random,1,8,0.71886271703734,0.28113728296266005,0.1635600564117377
randomforest,random,1,9,0.646721414681235,0.353278585318765,0.21453451820637864
randomforest,random,2,3,0.7043279324674573,0.2956720675325427,0.1734830849744278
randomforest,random,2,4,0.61913146347167,0.38086853652832997,0.23523014969500283
randomforest,random,2,5,0.7704942691254776,0.22950573087452242,0.12962805634377175
randomforest,random,2,6,0.63628275526517,0.36371724473483,0.22228263639916399
randomforest,random,2,7,0.7377683290518794,0.2622316709481206,0.1509013983994019
randomforest,random,2,8,0.6496755476447422,0.3503244523552578,0.2123596078364739
randomforest,random,2,9,0.6720552304108188,0.3279447695891812,0.19613273749851323
randomforest,random,3,4,0.7227621333645571,0.2772378666354429,0.1609263758856813
randomforest,random,3,5,0.7570682191371847,0.2429317808628153,0.13825973187433094
