title,date,source,identifier,description,relevance,tags
Onze voorloopers op deze aarde. Een en ander over resten van primitieve menschenrassen.,1932/07/02,Drents Archief,http://resolver.kb.nl/resolve?urn=MMDA03:000113822:mpeg21:a0124:ocr,,0,
GEMENGD NIEUWS.,1914/04/08,Drents Archief,http://resolver.kb.nl/resolve?urn=MMDA03:000108661:mpeg21:a0041:ocr,,0,
PRAE-HISTORISCH OMDERZOEK IN INDIE Wat gevonden werd.,1929/08/12,KB 1634 C1,http://resolver.kb.nl/resolve?urn=ddd:010360606:mpeg21:a0003:ocr,,0,
VOGELS ALS SLACHTOFFERS VAN HET SNELLE VERKEER.,1934/07/20,Groninger archieven,http://resolver.kb.nl/resolve?urn=MMRHCG04:235004017:mpeg21:a00055:ocr,,0,
WIJLEN G.P. CARLI. Herdenking bij N.S.B.,1936/10/27,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010285461:mpeg21:a0138:ocr,,0,
Natuurkundig Genootschap De ontwikkeling van de aardkorst.,1938/11/22,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB32:164698019:mpeg21:a00191:ocr,,0,
NEDERL. INDIE,1938/03/10,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB15:000125057:mpeg21:a00019:ocr,,0,
ARBEID EN BEWEGING,1936/11/11,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB12:000171062:mpeg21:a00084:ocr,,0,
Een Odyssea.,1930/01/23,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011108749:mpeg21:a0156:ocr,,0,
ONZE VOORLOOPERS OP DEZE AARDE Primitieve Menschenrassen Een eeuw anthropologisch onderzoek,1932/07/03,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB27:017923005:mpeg21:a00104:ocr,,0,
Laatste berichten.,1908/04/17,Stadsarchief 's-Hertogenbosch,http://resolver.kb.nl/resolve?urn=MMSADB01:000008857:mpeg21:a0005:ocr,,0,
PLAATSELIJK NIEUWS.,1904/10/22,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB15:000711195:mpeg21:a00003:ocr,,0,
