title,date,source,identifier,description,subject,relevance,tags,depth_m
OUDHEIDKUNDIGE RAPPORTEN. Als monografieën.,1941/03/14,"Koninklijk Instituut voor Taal-, Land- en Volkenku DP IC/41-2",http://resolver.kb.nl/resolve?urn=ddd:011176614:mpeg21:a0060:ocr,,,3,ARCHAEOLOGY,
Oudheidkundige schatten moeten teruggegeven,1951/04/11,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000288078:mpeg21:a00015:ocr,,,3,ARCHAEOLOGY,
OUDHEIDKUNDIGE DIENST,1935/10/23,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000458045:mpeg21:a00018:ocr,,,3,ARCHAEOLOGY,
Oost-Indië De Bataviasche moordzaak. Gewezen politieman voor de rechtbank.,1935/12/12,Gemeentearchief Venlo,http://resolver.kb.nl/resolve?urn=MMGAVL01:000030488:mpeg21:a0035:ocr,,,3,VOLCANIC; JAVA,
OUDHEIDKUNDIGE VONDSTEN.,1914/03/30,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB23:001528224:mpeg21:a00173:ocr,,,3,ARCHAEOLOGY,
Oudheidkundig Onderzoek.,1929/10/19,Koninklijke Bibliotheek C 96,http://resolver.kb.nl/resolve?urn=ddd:011072525:mpeg21:a0019:ocr,,,3,ARCHAEOLOGY,
UIT DE INDISCHE BLADEN. Oudheidkundig onderzoek.,1912/07/26,KB C 236,http://resolver.kb.nl/resolve?urn=ddd:010549028:mpeg21:a0034:ocr,,,3,ARCHAEOLOGY,
OUDHEIDKUNDIGE VONDSTEN,1935/04/10,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000461083:mpeg21:a00052:ocr,,,3,ARCHAEOLOGY,
Oudheidkundig onderzoek.,1940/11/27,"Koninklijk Instituut voor Taal-, Land- en Volkenku DP IC/40-2 - 41-1",http://resolver.kb.nl/resolve?urn=ddd:011176384:mpeg21:a0089:ocr,,,3,ARCHAEOLOGY,
De oudheidkundige vereeniging „Modjopait.”,1938/08/02,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010286094:mpeg21:a0212:ocr,,,3,ARCHAEOLOGY,
Wetenschappelijk nieuws. oudheidkundig verslag.,1920/12/01,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001679051:mpeg21:a00048:ocr,,,3,ARCHAEOLOGY,
Hindoe-oudheden.,1938/08/27,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010286116:mpeg21:a0233:ocr,,,3,ARCHAEOLOGY,
OUDHEIDKUNDIGE MUSEA Naar decentralisatie.,1940/03/29,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=KBNRC01:000088708:mpeg21:a0188:ocr,,,3,ARCHAEOLOGY,
Wetenschappen. HOOFD OUDHEIDKUNDIGEN DIENST. De regionale oudheidkundige musea.,1940/03/13,Koninklijke Bibliotheek C55,http://resolver.kb.nl/resolve?urn=ddd:010984284:mpeg21:a0193:ocr,,,3,ARCHAEOLOGY,
OUDHEIDKUNDIGE DIENST.,1913/07/29,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB23:001500074:mpeg21:a00124:ocr,,,3,ARCHAEOLOGY,
Waar ligt de tempel?,1941/07/23,"Koninklijk Instituut voor Taal-, Land- en Volkenku DP SP/41-3",http://resolver.kb.nl/resolve?urn=ddd:011177053:mpeg21:a0114:ocr,,,2,TEMPLE,
Over de „Tjandi Mendoet”. De Boeddhistische tempel uit de Progro-vallei.,1933/01/06,Tresoar,http://resolver.kb.nl/resolve?urn=ddd:010746049:mpeg21:a0118:ocr,,,2,TEMPLE,
DE JONGSTE HERSTELLINGEN AAN DE TJANDI HENDOET.,1910/01/13,Koninklijke Bibliotheek C 96,http://resolver.kb.nl/resolve?urn=ddd:011035487:mpeg21:a0067:ocr,,,2,TEMPLE,
"De Heilige Tempelkat van Oengaran. De Amerikaansche, de kampongkat en de Semarangsche havenmeester.",1927/05/23,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001701056:mpeg21:a00022:ocr,,,2,TEMPLE,
HET DJOKJASCHE MUSEUM.,1934/03/16,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000452146:mpeg21:a00026:ocr,,,2,VOLCANIC,
Een Oude Cultuur. De Vondsten uit vervlogen tijden op de Pasemah vlakte. Aan den voet van den machtigen Dempo. Beeld bij doesoen Padang.,1932/11/11,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001757021:mpeg21:a00003:ocr,,,2,STATUE,
"Stikte de Vesuvius in zijn protest? Sinds maart 1944 zwijgt de vulkaan, die Pompeji begroef",1956/03/17,Centre Céramique,http://resolver.kb.nl/resolve?urn=MMCC02:211173066:mpeg21:a00194:ocr,,,2,VOLCANIC,
Candi,1992/02/22,Nederlands Dagblad,http://resolver.kb.nl/resolve?urn=ddd:010559901:mpeg21:a0201:ocr,,,2,TEMPLE,
Tjandi Sawentar.,1923/11/14,KB NBM Mfm MMK 0030 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010026890:mpeg21:a0136:ocr,,,2,TEMPLE,
Oude tempels.,1922/06/22,KB C 142,http://resolver.kb.nl/resolve?urn=ddd:010210419:mpeg21:a0163:ocr,,,2,TEMPLE,
De Tjandi Panataran.,1930/04/19,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010279250:mpeg21:a0189:ocr,,,2,TEMPLE,
KUNST EN LETTEREN. DE TJANDI MENDOET.,1902/03/24,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB04:000126346:mpeg21:a0063:ocr,,,2,TEMPLE,
Het stadsbeeld.,1933/07/06,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011109726:mpeg21:a0226:ocr,,,2,STATUE,
BEELDENDE KUNSTEN.,1902/07/21,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000911146:mpeg21:a00106:ocr,,,2,STATUE,
"De Zwervende Geleerde vol Energie De ontgraving van de Vleermuizengroi door Dr Van Siein Callenfels was een voorbeeld voor verdere onderzoekingen Hij putte zijn kennis uit fenomenaal Geheugen Ontembare energie, onverwoestbare Vitaliteit",1938/05/21,KB C55,http://resolver.kb.nl/resolve?urn=ddd:010226691:mpeg21:a0309:ocr,,,2,STATUE,
DE KALKSTEENFORMATIES.,1938/04/27,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:003458110:mpeg21:a00184:ocr,,,1,STONE,
OOST-JAVA Moord in Malangs Montmartre,1939/12/24,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB27:021097141:mpeg21:a00133:ocr,,,1,JAVA,
De Java-Bode. HAVENS OP JAVA.,1866/06/06,KB C 47,http://resolver.kb.nl/resolve?urn=ddd:010484478:mpeg21:a0020:ocr,,,1,JAVA,
EEN TOCHT NAAR DE KLOETHELLING. (Van onzen correspondent te Malang.) I Ter onderneming „Penataran”. – Uitverkoren Ligging. – Onderneming en werving. – Het Uivertje. – Overblijfselen der oudheid.,1939/03/08,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010285669:mpeg21:a0306:ocr,,,1,JAVA,
Oost-Indië Een Indische imkerij. Een op Europeesche leest geschoeid bedrijf te Nongkodjajar in Oost-Java.,1930/08/25,Gemeentearchief Venlo,http://resolver.kb.nl/resolve?urn=MMGAVL01:000014540:mpeg21:a0049:ocr,,,1,JAVA,
"NEDERLANDSCH INDIE. BATAVIA, 10 November 1887.",1887/11/10,Koninklijke Bibliotheek C 96,http://resolver.kb.nl/resolve?urn=ddd:110617225:mpeg21:a0014:ocr,,,1,JAVA,
MIDDEN-JAVA-PAGINA JOGJAKARTA Het zwembad.,1928/07/21,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001719053:mpeg21:a00101:ocr,,,1,JAVA,
